fold,lift1_pi0.005,best_iter_pi0.005,best_leaves_pi0.005,best_lr_pi0.005,prauc_pi0.005,rocauc_pi0.005,lift1_pi0.01,best_iter_pi0.01,best_leaves_pi0.01,best_lr_pi0.01,prauc_pi0.01,rocauc_pi0.01,lift1_pi0.02,best_iter_pi0.02,best_leaves_pi0.02,best_lr_pi0.02,prauc_pi0.02,rocauc_pi0.02,lift1_pi0.03,best_iter_pi0.03,best_leaves_pi0.03,best_lr_pi0.03,prauc_pi0.03,rocauc_pi0.03,lift1_pi0.05,best_iter_pi0.05,best_leaves_pi0.05,best_lr_pi0.05,prauc_pi0.05,rocauc_pi0.05
0,16.243654822335024,148,31,0.05,0.2990092083699717,0.45603837786578905,15.228426395939087,162,15,0.05,0.2978506781596917,0.44748145255759464,15.736040609137056,38,31,0.1,0.298181194675887,0.4429463937078151,15.228426395939087,36,31,0.1,0.28671682473853854,0.44010710102080663,17.258883248730964,16,31,0.1,0.28643474863741086,0.43278853126568867
1,15.306122448979592,133,63,0.05,0.28523484844727404,0.44514182324912344,15.816326530612246,112,63,0.05,0.2886597289816636,0.44354603074710053,13.26530612244898,110,15,0.05,0.28304140401183764,0.43375213521531963,14.795918367346939,382,31,0.01,0.2797777934498651,0.4281724804459228,14.795918367346939,58,31,0.05,0.2747540158743472,0.42794210195091253
2,16.494845360824744,252,15,0.05,0.27732965849700714,0.43034424814932554,15.97938144329897,63,31,0.1,0.273505101002596,0.425530223897543,14.948453608247423,77,63,0.05,0.2630554744169295,0.4091466460783868,10.824742268041238,71,31,0.05,0.2571778535796733,0.4000068122984695,12.88659793814433,60,31,0.05,0.25752874204405213,0.3963224942095463
3,15.97938144329897,255,15,0.05,0.2773653008478658,0.4489588537172442,14.948453608247423,1000,15,0.01,0.27690152266440016,0.4563104591489169,12.88659793814433,75,31,0.05,0.2662655734439138,0.4345621962850266,13.402061855670103,43,15,0.1,0.26660552766648243,0.4390299286979427,12.371134020618557,282,31,0.01,0.2621569774640605,0.43271719878286935
