fold,lift0.01_pi0.005,lift0.02_pi0.005,lift0.03_pi0.005,lift0.05_pi0.005,best_iter_pi0.005,best_leaves_pi0.005,best_lr_pi0.005,prauc_pi0.005,rocauc_pi0.005,lift0.01_pi0.01,lift0.02_pi0.01,lift0.03_pi0.01,lift0.05_pi0.01,best_iter_pi0.01,best_leaves_pi0.01,best_lr_pi0.01,prauc_pi0.01,rocauc_pi0.01,lift0.01_pi0.02,lift0.02_pi0.02,lift0.03_pi0.02,lift0.05_pi0.02,best_iter_pi0.02,best_leaves_pi0.02,best_lr_pi0.02,prauc_pi0.02,rocauc_pi0.02,lift0.01_pi0.03,lift0.02_pi0.03,lift0.03_pi0.03,lift0.05_pi0.03,best_iter_pi0.03,best_leaves_pi0.03,best_lr_pi0.03,prauc_pi0.03,rocauc_pi0.03,lift0.01_pi0.05,lift0.02_pi0.05,lift0.03_pi0.05,lift0.05_pi0.05,best_iter_pi0.05,best_leaves_pi0.05,best_lr_pi0.05,prauc_pi0.05,rocauc_pi0.05
0,17.258883248730964,14.213197969543147,12.351945854483926,10.761421319796952,448,15,0.05,0.34280449816551706,0.5254197579070675,17.258883248730964,13.959390862944163,12.521150592216582,11.776649746192891,370,15,0.02,0.3398811042239076,0.5129581078819657,18.274111675126903,14.974619289340101,13.197969543147208,11.776649746192891,556,15,0.02,0.3383289756197774,0.5280917052490657,16.243654822335024,13.451776649746193,12.859560067681894,12.284263959390861,400,15,0.02,0.3256621873807267,0.5216879567133375,15.228426395939087,14.467005076142133,13.367174280879864,12.588832487309643,218,15,0.02,0.32862283003132375,0.5069671445305963
1,14.795918367346939,12.755102040816327,12.755102040816327,10.612244897959183,438,15,0.05,0.36653343071742117,0.510861503191585,14.795918367346939,12.5,12.414965986394558,11.530612244897958,447,31,0.02,0.36767897383309,0.5170255326800324,16.836734693877553,13.775510204081632,12.414965986394558,11.530612244897958,536,15,0.02,0.3491423714597301,0.5166827744313585,16.836734693877553,13.26530612244898,12.414965986394558,11.83673469387755,381,15,0.02,0.35223540589786706,0.5068495459857951,16.836734693877553,14.540816326530612,13.095238095238095,11.122448979591836,194,31,0.02,0.3612542364468168,0.4997977164434056
2,18.04123711340206,16.75257731958763,13.573883161512029,10.515463917525771,535,15,0.05,0.3915306434779391,0.5286684227258277,19.072164948453608,14.690721649484537,12.714776632302407,10.824742268041236,938,15,0.02,0.3836704230101102,0.5225770925110131,19.072164948453608,14.43298969072165,12.542955326460483,11.030927835051545,577,15,0.02,0.38234509526934657,0.519835142377038,18.556701030927837,14.690721649484537,13.058419243986256,11.030927835051545,402,15,0.02,0.36877475095610146,0.5062218992688132,18.04123711340206,13.402061855670103,12.199312714776633,11.030927835051545,478,15,0.02,0.3814508752987014,0.5268404559698442
3,14.948453608247423,12.371134020618557,11.34020618556701,11.649484536082474,370,63,0.02,0.34032842197162705,0.4973204959353286,17.52577319587629,12.628865979381443,13.23024054982818,11.958762886597937,219,15,0.05,0.34462383218652337,0.5105477087969481,15.463917525773196,13.659793814432991,13.573883161512029,11.958762886597937,338,15,0.02,0.34910063037168393,0.5078511739861029,14.948453608247423,13.917525773195877,13.917525773195878,12.268041237113401,304,15,0.02,0.3302579497343019,0.5041668558971797,13.402061855670103,13.402061855670103,13.402061855670105,12.06185567010309,172,31,0.02,0.3326430333732925,0.4997161542304374
