fold,lift1_pi0.005,best_iter_pi0.005,best_leaves_pi0.005,best_lr_pi0.005,prauc_pi0.005,rocauc_pi0.005,lift1_pi0.01,best_iter_pi0.01,best_leaves_pi0.01,best_lr_pi0.01,prauc_pi0.01,rocauc_pi0.01,lift1_pi0.02,best_iter_pi0.02,best_leaves_pi0.02,best_lr_pi0.02,prauc_pi0.02,rocauc_pi0.02,lift1_pi0.03,best_iter_pi0.03,best_leaves_pi0.03,best_lr_pi0.03,prauc_pi0.03,rocauc_pi0.03,lift1_pi0.05,best_iter_pi0.05,best_leaves_pi0.05,best_lr_pi0.05,prauc_pi0.05,rocauc_pi0.05
0,14.4,75,63,0.1,0.29677422323285674,0.4212977099236641,17.6,45,63,0.1,0.314471566130756,0.43245801526717553,15.2,39,63,0.1,0.3066231713502421,0.4227175572519084,18.4,33,63,0.1,0.32885322319199906,0.42555725190839694,16.0,30,31,0.1,0.3092545558474512,0.42801526717557237
1,10.4,120,15,0.1,0.2789716614319449,0.37750191570881225,11.2,107,31,0.05,0.2767676160086897,0.38568582375478927,12.8,66,63,0.05,0.28435200333250166,0.3919386973180077,11.2,37,31,0.1,0.2749686248913337,0.3861762452107279,12.0,29,63,0.05,0.2732068158695451,0.3943754789272031
2,14.634146341463415,148,63,0.05,0.28790033581340807,0.3756814004921658,17.073170731707318,109,31,0.05,0.31078145140164315,0.3746067345730928,15.447154471544716,52,63,0.05,0.3026439698334856,0.37873407469706877,15.447154471544716,39,31,0.1,0.29895890617340454,0.3606828022303211,16.260162601626018,21,63,0.1,0.3031240782964422,0.37719216272622497
3,11.382113821138212,63,63,0.1,0.29260000093731336,0.3921128866461079,11.382113821138212,79,15,0.1,0.2953367303914779,0.40968133819269226,10.56910569105691,90,63,0.05,0.2661719156825165,0.3929850792760801,8.94308943089431,37,31,0.1,0.271738667425991,0.3877051988910694,9.75609756097561,90,15,0.05,0.2810428510273707,0.40320219294146964
