fold,q1,q0,n1_cal,n0_cal,alpha
0,0.8890165886745247,0.3541711990394001,62,131,0.1
1,0.8698958372262591,0.5464415949862623,54,139,0.1
2,0.9143887205846956,0.45205109693320716,62,130,0.1
3,0.8371023632851293,0.4038014390879136,58,134,0.1
