fold,a,b,se_a,se_b,n_P,n_N,note
0,7.059680940376247,-2.984566920619295,0.8474195184028943,0.2949177079744166,125.0,261.0,per-fold
1,4.81786246531762,-2.470171593257302,0.5331738163408029,0.23068275895168794,124.0,262.0,per-fold
2,4.9065725278834265,-2.2855517074224623,0.569494104355501,0.21369745762452183,123.0,261.0,per-fold
3,6.163383463677024,-2.907450324590014,0.677391425289033,0.2725101571018655,124.0,261.0,per-fold
mean,5.73687484931358,-2.6619351364722683,1.074819559986537,0.3380368411421228,,,cross-fold mean (se_a/se_b = cross-fold SD)
global,5.475300143989996,-2.573811590601725,0.3164295312215028,0.12249443698090595,496.0,1045.0,global fit su tutti gli OOF labeled
