fold,a,b,se_a,se_b,n_P,n_N,note
0,-0.6333387026699752,-0.539656368998072,0.2778187348286713,0.1543426235353622,196.0,454.0,per-fold
1,-1.0270179762271512,-0.3764143200695417,0.2816308434595327,0.15084806305468768,195.0,455.0,per-fold
2,-0.8998533203012249,-0.4245855437636022,0.2781906331116439,0.15342121541517237,194.0,454.0,per-fold
3,-0.7078657653865505,-0.5189677677710166,0.2767791697053371,0.14896545399096364,196.0,454.0,per-fold
mean,-0.8170189411462254,-0.46490600015055816,0.17945656381608405,0.07738821832790227,,,cross-fold mean (se_a/se_b = cross-fold SD)
global,-0.8158593164419068,-0.46518820991999976,0.13918080850961137,0.07589550225667678,781.0,1817.0,global fit su tutti gli OOF labeled
