fold,n_P,n_N,ece_raw,ece_calib,brier_raw,brier_calib
0,196,454,0.34488970940170943,0.010690884983302307,0.36664493428452033,0.20885785755816352
1,195,455,0.3654153846153846,0.0009875850370385877,0.3799964245880341,0.20549933809637103
2,194,454,0.3626759259259259,0.0005384098887805743,0.38106156757201637,0.2061645253076791
3,196,454,0.34759429059829056,0.0036671432099613897,0.3649630614936372,0.2082043278334926
overall,781,1817,0.35372063125481135,0.0018263779245143862,0.37316041917809517,0.20718229509876587
