cig,label,score_raw_final,score_calib_final
0123031862,,0.9753489049704586,0.9315990128948445
011473062F,,0.9931995735431781,0.9372586774925884
0121185505,,0.9828124535034294,0.9340207632189905
0113227DDC,,0.9867654536639525,0.9352709190101902
0113728B4D,,0.9936703565324375,0.9374018634499809
0121505D15,,0.9837669574722567,0.9343246693846888
01247860AA,,0.7854886659168653,0.8359630693589503
0115109EEF,,0.9736189743054317,0.9310260470989846
0126155A63,,0.9865675324466626,0.935208853214672
011820168B,,0.9752493418784192,0.9315661568130454
131297908C,,0.9849705846379352,0.9347060390427758
0116292F2D,,0.9940179254762113,0.9375073788207101
01136467A3,,0.9793063606163133,0.9328932026228023
012053087E,,0.9895565880188038,0.936140312145088
0107424914,,0.9820728084060173,0.9337843681022988
0123168970,,0.9990861868514296,0.9390272595884457
0115827F72,,0.9828512010557414,0.934033125529737
0114221226,,0.933395912613234,0.9163915368928254
01129243D4,1.0,0.9988269231708662,0.9389503570046099
0118908DF8,,0.9943298444620312,0.9376019301805274
0118135016,,0.9901054447829339,0.9363099871663251
077985223A,,0.9835573566600667,0.9342580459326146
34645182B2,,0.8839579539376858,0.8945730690269196
01050122A4,,0.9981403969057641,0.9387462819185899
0119540785,,0.9884439390322537,0.9357950518412118
0120954664,,0.9525993921675271,0.923700895064817
01190925D2,,0.9961072149113444,0.9381381569848889
01157407A9,,0.9923713804494857,0.9370060453999208
22389296A7,,0.6620389425204553,0.7289532445463013
01211632DE,,0.9994846023796254,0.9391452607437604
0113286E8C,,0.922020437582247,0.9117668194220793
0114455340,,0.3759767926987182,0.3794695914481246
01156540B3,,0.9812105947313793,0.9335078060948854
0117042A1A,,0.9973719141248764,0.9385170883349302
0117360089,,0.996902559434419,0.938376713262161
32757881C6,,0.8874714158025109,0.8962764585318614
0116829A54,,0.9372266858863639,0.917898702553085
0105953B2B,,0.9986010304353797,0.9388832789630218
01263814E5,,0.9927986307212668,0.9371364921247698
012740411B,,0.9781806315020385,0.9325273908615972
01207817A0,,0.9961767165269048,0.9381590377045315
01270171BE,,0.9919625139732271,0.9368809751701896
0130222696,,0.9989610604704235,0.9389901560178353
013116726E,,0.9828672168259155,0.9340382346927951
0125325D72,,0.9975441567895567,0.9385685278529187
0123133C8D,,0.9953383712043249,0.9379067296515815
01532100E4,,0.9981582261041457,0.9387515898376623
0129031FBB,,0.9689254329877474,0.9294490591071264
012382037E,,0.9953763377566334,0.937918176800755
0121870A4B,,0.9496862734294216,0.9226310659057849
012484622D,,0.9978309621761435,0.9386540917915571
0168770966,,0.9800696056114946,0.9331401752997656
0128929B90,,0.9990702473675407,0.939022534246025
01243611F1,,0.9598555103294034,0.9263069017692876
0126115961,,0.9588148604521654,0.9259382524885387
0120743844,,0.9904600942351471,0.9364194008751715
0127380D49,,0.9660328444606899,0.9284606458615015
0120516CEF,,0.9969940349869097,0.938404095335626
00836917FD,1.0,0.9581045995331937,0.9256856697961127
0126203202,,0.9758581254830984,0.9317668285571177
0125270013,,0.995042804479937,0.9378175470461512
0122472B14,,0.99962165623941,0.9391858034276119
01232973E6,,0.9982471082055664,0.9387780444566688
0131532F9F,,0.9956614776910943,0.9380040852883273
01278934A3,,0.9923489620588408,0.9369991937193455
01198642E6,,0.909509278167163,0.9064146719249796
01251572D2,,0.9833909993272505,0.9342051230816862
01300844B5,,0.9895546424319378,0.9361397099327455
0053041ACE,,0.9958474378169763,0.9380600525252328
011496581C,,0.9951047183152478,0.9378362384680062
012915888B,,0.9946508795409846,0.937699105423647
2769271AB6,,0.6844961866962986,0.7513066206854383
