fold,lift@1%,lift@2%,lift@5%,pr_auc,roc_auc
0,16.8,11.2,7.2,0.39656748952737386,0.5329923664122138
1,17.6,13.6,9.12,0.4258439396220352,0.5877854406130268
2,14.634146341463415,11.382113821138212,7.804878048780488,0.41687643336984104,0.557081892658007
3,15.447154471544716,12.601626016260163,9.430894308943088,0.46818981956878614,0.6285549637105566
