fold,n_P,n_N,ece_raw,ece_calib,brier_raw,brier_calib
0,125,261,0.20328290071423438,0.04320595387026714,0.25639085415120527,0.21724945187960557
1,124,262,0.17193179609643933,0.057168412309410784,0.2504980335223272,0.21582489489114748
2,123,261,0.18717118084700105,0.028920732474389158,0.25310708800451426,0.21673513592603263
3,124,261,0.18191238232669044,0.021380603798371964,0.25591529379155536,0.21655615187361427
overall,496,1045,0.17323532662602942,0.03762523530165694,0.25397769016577926,0.21659124498406793
