fold,a,b,se_a,se_b,n_P,n_N,note
0,1.2642207296161074,-0.9346686413876463,0.7640128506594315,0.16432639983622452,125.0,261.0,per-fold
1,1.4430894738678433,-0.9869450542193959,0.7662096052899513,0.17005408768484231,124.0,262.0,per-fold
2,1.0276047537073463,-0.9195254759058731,0.8043548766348103,0.17269339839501244,123.0,261.0,per-fold
3,1.3752856617496745,-0.9507417690781275,0.8007850589945226,0.1646687514799632,124.0,261.0,per-fold
mean,1.2775501547352428,-0.9479702351477606,0.18221404316467635,0.028941058762491405,,,cross-fold mean (se_a/se_b = cross-fold SD)
global,1.2800902395891427,-0.9483909287048771,0.39109610220965607,0.08388048630264695,496.0,1045.0,global fit su tutti gli OOF labeled
