"fold","best_iter","pr_auc","roc_auc","pr_auc_baseline","roc_auc_baseline","lift_1pct_globale"
1,4,0.578028096058411,0.697065878284152,0.571238945071746,0.687069783008869,20.952380952381
2,1,0.590540216106415,0.691843477479097,0.562793260424486,0.687033624022296,20.952380952381
3,2,0.650001171659445,0.721149915981652,0.649042212409942,0.724141650392843,20.952380952381
4,3,0.588411958609034,0.709489531768019,0.583576929999386,0.706963304418911,20.952380952381
