"fold","best_iter","pr_auc","roc_auc","pr_auc_baseline","roc_auc_baseline","lift_1pct_globale"
1,1,0.570749931995799,0.685223406035589,0.56742152262082,0.682289284319741,12.3809523809524
2,1,0.589129676081393,0.705587521352153,0.545137551131226,0.694501258653241,12.3809523809524
3,0,0.653254313315852,0.723982696761887,0.653254313315852,0.723982696761887,12.3809523809524
4,5,0.589476144285168,0.714036740996412,0.578770843806242,0.708961578636632,12.3809523809524
