fold,a,b,se_a,se_b,n_P,n_N,note
0,3.5444834127937255,-0.6992322964083737,1.3548039822655547,0.24079441125814272,53.0,70.0,per-fold
1,2.045208086950034,-0.5538198449623695,1.155841999902854,0.23932455540372333,53.0,70.0,per-fold
2,2.5711632742568584,-0.5304548255518595,1.614239590526939,0.2338328548049584,52.0,70.0,per-fold
3,3.6877269322627444,-0.6332553803598701,1.6737780713480308,0.23576591235953923,52.0,70.0,per-fold
mean,2.962145426565841,-0.6041905868206182,0.7872371899707676,0.07714026814851911,,,cross-fold mean (se_a/se_b = cross-fold SD)
global,2.841531820961003,-0.5975083308754199,0.6961706009178572,0.11815446146822216,210.0,280.0,global fit su tutti gli OOF labeled
