fold,a,b,se_a,se_b,n_P,n_N,note
0,51.177618289986725,-22.107922876453504,9.668536791050883,4.117773720338397,53.0,70.0,per-fold
1,15.323891948709601,-6.851644618032789,2.6643939881695373,1.1324099883636602,53.0,70.0,per-fold
2,14.971902198058904,-6.687797578734024,2.7776287389860905,1.1835851702389493,52.0,70.0,per-fold
3,18.73919228733765,-8.388233530636638,3.2513987909167787,1.3992578339030552,52.0,70.0,per-fold
mean,25.053151181023217,-11.008899650964239,17.49898973183448,7.438882084508155,,,cross-fold mean (se_a/se_b = cross-fold SD)
global,17.804207025877208,-7.902648722408775,1.762096334803128,0.7505880537857035,210.0,280.0,global fit su tutti gli OOF labeled
