fold,copertura_marginale,copertura_classe1,copertura_classe0,ampiezza_media,frac_singleton,frac_ambiguo,frac_vuoto,n1_test,n0_test
0,0.9838709677419355,1.0,0.9714285714285714,1.8709677419354838,0.12903225806451613,0.8709677419354839,0.0,27,35
1,0.9193548387096774,1.0,0.8611111111111112,1.8225806451612903,0.1774193548387097,0.8225806451612904,0.0,26,36
2,0.9836065573770492,1.0,0.9696969696969697,1.901639344262295,0.09836065573770492,0.9016393442622951,0.0,28,33
3,0.9016393442622951,0.7391304347826086,1.0,1.7704918032786885,0.22950819672131148,0.7704918032786885,0.0,23,38
mean_oof,0.9471179270227393,0.9347826086956521,0.9505591630591631,1.8414198836594393,0.15858011634056055,0.8414198836594395,0.0,104,142
