fold,q1,q0,n1_cal,n0_cal,alpha
0,0.6554381984174762,0.5211174788575728,26,35,0.1
1,0.655487709925415,0.4615322578997496,27,34,0.1
2,0.6556926368633282,0.6145815483806304,24,37,0.1
3,0.6531102617174398,0.6038184855881138,29,32,0.1
