fold,gamma,lift@1%,lift@2%,lift@5%,pr_auc,roc_auc
0,0.05,4.8,3.6,2.88,0.7177768149059414,0.7670191570881225
1,0.05,4.838709677419355,2.4193548387096775,1.9354838709677418,0.7198489777244939,0.8038660428465895
2,0.05,30.08130081300813,15.040650406504065,6.016260162601625,0.6787843417580005,0.7188580506494721
3,0.05,1.6129032258064517,2.4193548387096775,2.258064516129032,0.6955626802990288,0.7528426646891608
0,0.1,6.4,5.2,3.04,0.7181445989361477,0.766375478927203
1,0.1,2.4193548387096775,3.2258064516129035,2.096774193548387,0.7090635159582895,0.7781642452597882
2,0.1,28.45528455284553,14.227642276422765,5.691056910569105,0.6830929968088792,0.7335607264118618
3,0.1,3.2258064516129035,2.4193548387096775,2.258064516129032,0.6738437641098618,0.7333765912742554
0,0.2,6.4,4.8,3.36,0.7120689978263213,0.7613946360153258
1,0.2,4.032258064516129,3.2258064516129035,2.096774193548387,0.7027789524168969,0.7851976114257573
2,0.2,17.88617886178862,8.94308943089431,3.5772357723577235,0.7006575199469234,0.7427654736317477
3,0.2,9.67741935483871,4.838709677419355,2.258064516129032,0.6700176263131203,0.7268261030774936
0,0.33,7.2,5.2,3.84,0.7188789606735013,0.7692873563218391
1,0.33,2.4193548387096775,2.8225806451612905,2.096774193548387,0.694494608629335,0.7744705737503077
2,0.33,9.75609756097561,5.691056910569106,3.089430894308943,0.7546457009757005,0.7913279132791328
3,0.33,3.2258064516129035,3.2258064516129035,2.5806451612903225,0.6716258073724378,0.7235199604498826
0,0.5,6.4,4.0,2.56,0.7243794052892357,0.7692413793103448
1,0.5,1.6129032258064517,2.0161290322580645,2.096774193548387,0.7021293494140475,0.7776717557251908
2,0.5,8.130081300813009,5.691056910569106,3.252032520325203,0.7469395901031659,0.7791483661963056
3,0.5,4.838709677419355,3.629032258064516,3.064516129032258,0.6648101514910648,0.7190705722407613
0,0.66,15.2,7.6,3.52,0.6997650141746006,0.7405057471264367
1,0.66,1.6129032258064517,1.2096774193548387,1.7741935483870968,0.6998121548681795,0.7837970943117458
2,0.66,13.008130081300813,6.504065040650406,3.4146341463414633,0.7163616154087602,0.7563311840014951
3,0.66,7.258064516129032,3.629032258064516,2.258064516129032,0.6724913042600056,0.7329440118650352
0,0.8,1.6,8.4,3.36,0.67768905923748,0.7285977011494253
1,0.8,4.838709677419355,3.2258064516129035,2.096774193548387,0.7196235532583016,0.8049741442994336
2,0.8,4.878048780487805,3.252032520325203,3.089430894308943,0.7265896158701166,0.7629193533314643
3,0.8,2.4193548387096775,4.435483870967742,2.4193548387096775,0.6657689208700575,0.7260536398467433
0,0.9,4.0,4.4,4.0,0.7172008073316684,0.7650881226053641
1,0.9,1.6129032258064517,2.4193548387096775,1.9354838709677418,0.7035362025551161,0.7967095542969712
2,0.9,5.691056910569106,5.284552845528455,2.926829268292683,0.7427562064241736,0.7765629380431733
3,0.9,4.032258064516129,2.4193548387096775,2.096774193548387,0.6727156756838627,0.7181745148930911
0,1.0,0.0,4.0,3.2,0.7187778716415635,0.7717241379310344
1,1.0,3.2258064516129035,2.8225806451612905,1.6129032258064515,0.7142580492408062,0.8017883526225068
2,1.0,6.504065040650406,5.284552845528455,3.4146341463414633,0.7393836439321383,0.7708936859483537
3,1.0,7.258064516129032,4.435483870967742,2.4193548387096775,0.6686564382940754,0.7206772957607217
