gamma,lift@1%_mean,lift@1%_sd,lift@2%_mean,lift@2%_sd,lift@5%_mean,lift@5%_sd,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd
0.0,13.908510359297141,0.9531895499619535,12.301212955677943,0.7538465233295768,10.122905848413321,0.820835923476269,0.28812113685259444,0.012347367775119043,0.4031548095579036,0.026127428930151624
0.05,14.518240230789404,1.1736123028022227,12.805258326776816,0.8157193151170067,9.84064253868345,0.9447358626564565,0.295792825818357,0.008204919136783817,0.4134262605027482,0.024537936331979628
0.1,15.331222134801992,1.8429492123550664,13.608484133228428,0.6736328422953823,10.164206661421453,1.1320343535310498,0.3102756610486891,0.006974646223035966,0.4307380530883714,0.025496512866585132
0.2,15.727943876212958,1.0783675259503565,13.10364542355101,1.0428272483649967,10.123884080776293,1.0640637177756715,0.32119496299689376,0.008778640810449585,0.4411351142786888,0.027101098155554528
0.33,15.731143456595856,2.364136835664307,13.30446498819827,0.9435491874917773,9.962265932336743,0.9388357885321162,0.34167839722562954,0.011429739043013146,0.45666367777329286,0.034459382831717275
0.5,16.739260424862316,2.536461159925787,13.911775504851821,2.0188444578583056,10.162911093627065,0.7228777466864436,0.37320261454655035,0.03197813082360653,0.4799238064734047,0.04342775114305581
0.66,15.927917650144243,3.0458278717135165,14.010929714135852,1.8297550932084152,9.961610280618935,0.974902623297085,0.3767337775644963,0.03765519704963022,0.48443254430056737,0.04480017487787482
0.8,16.52789142407553,3.23083664371248,14.610110149488591,2.224766836533371,9.84064253868345,0.7618077397160102,0.3799888523298933,0.037084463639968854,0.4900389758022924,0.04688179663892948
0.9,17.750655651717807,4.057072995312799,14.315820875950696,1.770520014702456,10.164211906635195,0.8739083655965176,0.39500735351608757,0.04498350273773358,0.5025262598983159,0.04863014070743319
1.0,18.758772619984263,3.9209096251117064,14.01338840807763,1.8559640397549386,9.922265932336742,0.9157694005565088,0.3972898376293391,0.04942593942064642,0.5079508713318127,0.04693538354123507
