fold,gamma,lift@1%,lift@2%,lift@5%,pr_auc,roc_auc
0,0.05,5.660377358490566,3.773584905660377,2.641509433962264,0.8821036163188631,0.8644204851752021
1,0.05,49.056603773584904,24.528301886792452,9.811320754716979,0.8683478401505096,0.8637466307277629
2,0.05,5.769230769230769,4.8076923076923075,2.692307692307692,0.8693648485327761,0.8667582417582418
3,0.05,26.923076923076923,13.461538461538462,5.384615384615384,0.8502911067563761,0.835989010989011
0,0.1,9.433962264150942,4.716981132075471,3.0188679245283017,0.8908832125687696,0.8768194070080862
1,0.1,50.94339622641509,25.471698113207545,10.188679245283017,0.8414170982154838,0.8181940700808624
2,0.1,11.538461538461538,6.730769230769231,3.846153846153846,0.8790442083824022,0.8692307692307693
3,0.1,11.538461538461538,5.769230769230769,2.3076923076923075,0.825590194941122,0.8179945054945055
0,0.2,11.320754716981131,5.660377358490566,2.641509433962264,0.8627796413822959,0.8526954177897574
1,0.2,5.660377358490566,4.716981132075471,3.3962264150943393,0.8926856023264018,0.8730458221024259
2,0.2,9.615384615384615,4.8076923076923075,1.923076923076923,0.8602065093571656,0.8398351648351648
3,0.2,5.769230769230769,2.8846153846153846,3.0769230769230766,0.8446477237802322,0.8298076923076924
0,0.33,7.547169811320754,4.716981132075471,2.641509433962264,0.8930010188462696,0.8754716981132075
1,0.33,5.660377358490566,4.716981132075471,3.0188679245283017,0.8917536526152479,0.8681940700808627
2,0.33,17.307692307692307,8.653846153846153,3.846153846153846,0.8905517220392177,0.8813186813186812
3,0.33,5.769230769230769,2.8846153846153846,2.3076923076923075,0.8459652179360722,0.834478021978022
0,0.5,13.20754716981132,6.60377358490566,4.9056603773584895,0.8653189215969999,0.8456873315363881
1,0.5,3.773584905660377,3.773584905660377,3.0188679245283017,0.88629719868817,0.8673854447439354
2,0.5,11.538461538461538,9.615384615384615,4.230769230769231,0.899143552020549,0.8920329670329671
3,0.5,13.461538461538462,6.730769230769231,2.692307692307692,0.8544334345658104,0.8469780219780221
0,0.66,9.433962264150942,4.716981132075471,4.9056603773584895,0.8744356863376541,0.8611859838274933
1,0.66,1.8867924528301885,3.773584905660377,3.773584905660377,0.8861014609710105,0.8649595687331536
2,0.66,13.461538461538462,7.692307692307692,3.4615384615384612,0.9047066218713903,0.8901098901098901
3,0.66,7.692307692307692,3.846153846153846,1.5384615384615383,0.8564680701250529,0.8420329670329672
0,0.8,9.433962264150942,8.49056603773585,3.3962264150943393,0.8731712548392334,0.8586253369272236
1,0.8,0.0,2.830188679245283,4.9056603773584895,0.8844043978179128,0.8633423180592993
2,0.8,9.615384615384615,7.692307692307692,3.846153846153846,0.8899534084423425,0.8796703296703297
3,0.8,1.923076923076923,0.9615384615384615,1.1538461538461537,0.8592881662132362,0.8501373626373626
0,0.9,9.433962264150942,5.660377358490566,3.3962264150943393,0.8588570937720257,0.8450134770889489
1,0.9,3.773584905660377,4.716981132075471,3.773584905660377,0.8861858399735123,0.8684636118598382
2,0.9,9.615384615384615,5.769230769230769,4.230769230769231,0.887189288455891,0.8706043956043957
3,0.9,9.615384615384615,4.8076923076923075,2.3076923076923075,0.8753472182337408,0.8645604395604395
0,1.0,9.433962264150942,5.660377358490566,3.3962264150943393,0.8593161392328021,0.8455525606469003
1,1.0,1.8867924528301885,2.830188679245283,4.150943396226414,0.8790726572323799,0.8557951482479785
2,1.0,9.615384615384615,6.730769230769231,3.846153846153846,0.8910687022349024,0.8703296703296702
3,1.0,0.0,0.0,1.1538461538461537,0.8638401942990728,0.8491758241758242
