fold,gamma,lift@1%,lift@2%,lift@5%,pr_auc,roc_auc
0,0.0,9.6,8.0,6.24,0.2532463042642436,0.3250574712643678
1,0.0,8.870967741935484,7.661290322580645,6.290322580645161,0.27758330488022354,0.3681513174095051
2,0.0,11.382113821138212,9.34959349593496,6.666666666666666,0.27061609393242664,0.3431455004205215
3,0.0,15.32258064516129,10.483870967741936,6.451612903225806,0.30107946460227164,0.3806389815844766
0,0.05,7.2,6.8,4.16,0.31076093666154203,0.42418390804597694
1,0.05,8.064516129032258,6.048387096774194,4.516129032258064,0.3614156661443776,0.5202228515144054
2,0.05,10.56910569105691,7.317073170731708,5.691056910569105,0.34148737471314283,0.4400367566894059
3,0.05,7.258064516129032,5.645161290322581,4.354838709677419,0.324422394182375,0.44856939809665053
0,0.1,6.4,7.2,4.16,0.3109186199413111,0.42554789272030646
1,0.1,8.064516129032258,6.048387096774194,4.67741935483871,0.35962668518638596,0.5212232208815563
2,0.1,10.56910569105691,7.317073170731708,5.691056910569105,0.34256941116404976,0.4421082141855901
3,0.1,6.451612903225807,5.241935483870968,4.354838709677419,0.322936187745424,0.44728710913360525
0,0.2,8.0,7.2,4.16,0.3127288351499061,0.42616091954022994
1,0.2,8.064516129032258,6.048387096774194,4.838709677419355,0.3590690906684615,0.5212232208815563
2,0.2,10.56910569105691,7.723577235772358,5.853658536585366,0.3429325752135461,0.44422639628695143
3,0.2,8.064516129032258,6.048387096774194,4.516129032258064,0.3255323614050465,0.450237918675071
0,0.33,6.4,7.2,4.16,0.30945237851748786,0.42303448275862066
1,0.33,8.064516129032258,6.451612903225807,4.67741935483871,0.3587021316909775,0.5204383156857917
2,0.33,10.56910569105691,7.723577235772358,5.691056910569105,0.3467365639707072,0.44650032707223625
3,0.33,7.258064516129032,5.241935483870968,4.354838709677419,0.3213791866152863,0.4471789642813002
0,0.5,7.2,7.2,4.48,0.31118241323111095,0.42582375478927204
1,0.5,8.064516129032258,6.048387096774194,4.838709677419355,0.3583519323923475,0.5220850775671017
2,0.5,10.56910569105691,7.317073170731708,5.528455284552845,0.3447855585499778,0.444039497866243
3,0.5,8.064516129032258,6.048387096774194,4.516129032258064,0.32327126340382095,0.44679273266592506
0,0.66,6.4,6.8,4.48,0.3109557368301654,0.4226206896551724
1,0.66,8.064516129032258,6.048387096774194,4.516129032258064,0.357629289304621,0.5196226298941148
2,0.66,10.56910569105691,6.910569105691057,5.365853658536585,0.34374977103393867,0.4438525994455347
3,0.66,7.258064516129032,5.645161290322581,4.354838709677419,0.32028924750081705,0.44642195031516496
0,0.8,8.0,6.4,4.8,0.31038549316408026,0.42130268199233717
1,0.8,7.258064516129032,5.645161290322581,4.67741935483871,0.3572664563856402,0.5201151194287121
2,0.8,10.56910569105691,7.317073170731708,5.203252032520325,0.3427757445667847,0.44408622247142016
3,0.8,7.258064516129032,6.048387096774194,4.516129032258064,0.3225744240187542,0.4484149054505005
0,0.9,8.0,6.4,4.48,0.31084141179573155,0.42419923371647505
1,0.9,7.258064516129032,5.645161290322581,4.516129032258064,0.3566353415661071,0.5211770499876878
2,0.9,10.56910569105691,6.910569105691057,5.203252032520325,0.34232057867539445,0.44363455128804163
3,0.9,7.258064516129032,6.048387096774194,4.516129032258064,0.32188621988819993,0.4492337164750958
0,1.0,8.0,6.4,4.8,0.31273936217490167,0.4246896551724138
1,1.0,7.258064516129032,6.048387096774194,4.67741935483871,0.357641764817158,0.5215771977345481
2,1.0,10.56910569105691,6.910569105691057,5.528455284552845,0.3418820834470277,0.44525433760084726
3,1.0,8.064516129032258,6.048387096774194,4.67741935483871,0.3240494973574072,0.4494500061797059
