gamma,lift@1%_mean,lift@1%_sd,lift@2%_mean,lift@2%_sd,lift@5%_mean,lift@5%_sd,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd
0.0,19.05841799709724,2.802667067750871,15.479862119013063,1.4759184958800595,9.624455732946297,0.8073627570419378,0.4553080924920391,0.032449324299456635,0.47613518556914786,0.03861982840587428
0.05,20.01088534107402,2.5652718440993647,15.003628447024674,0.9788964590295234,9.531930333817126,1.0334642666915639,0.4697622388185687,0.0393431745451877,0.47743235538046863,0.03526306020503603
0.1,22.37844702467344,0.841807529616849,15.239477503628446,1.112559410256893,9.052975326560231,0.8567131487259371,0.48824495320757494,0.042835324735479345,0.4888891768608749,0.03611325740520572
0.2,22.36030478955007,3.0424732045248413,14.522859216255442,1.6208304402658316,8.673802612481857,1.2082438022340394,0.5104295350196626,0.0538188154099975,0.49951923076923077,0.031470108612214505
0.33,22.8410740203193,2.9384447540533003,14.527394775036285,2.7819950743645783,8.862481857764877,0.8578163445995128,0.5242694294513308,0.05360254262976797,0.512205836616214,0.030914305312249906
0.5,21.416908563134978,3.149633445643966,15.239477503628446,2.4836978300065358,8.670174165457183,0.7054600604416789,0.5328410361478749,0.05404443027340373,0.515021770682148,0.036165026837839225
0.66,20.482583454281567,1.9130095862695378,14.282474600870827,2.038365765791689,8.574020319303337,0.4442539115978857,0.5414204945162194,0.05480639005979712,0.5200860460294423,0.03521691960674415
0.8,20.954281567489115,3.1488147459575684,14.990021770682148,1.8557401936248603,8.764513788098693,0.38529369402141983,0.5465037376815496,0.05012554892662019,0.5237572568940493,0.035272183355571224
0.9,19.521044992743107,1.7807753607280687,14.046625544267052,1.4123295998170324,8.951378809869375,0.7022209062063124,0.5472929412133415,0.05608792575901687,0.5312512958739374,0.03534849648119272
1.0,21.888606676342526,3.8371720805616856,14.04208998548621,1.549436101073742,8.857039187227866,0.4623387644759501,0.5547613688598849,0.05515527564638803,0.53147289031723,0.031745718800912065
