gamma,lift@1%_mean,lift@1%_sd,lift@2%_mean,lift@2%_sd,lift@5%_mean,lift@5%_sd,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd
0.1,9.21058629637422,2.6378560855517046,4.669726137877832,1.2589137874063534,2.354684221031791,0.5526944812921412,0.5703082133947853,0.027593723704540593,0.6917456691821816,0.026826846240132835
0.2,7.286808061844881,3.1908659621563227,6.1359053930850695,3.7770637117810693,2.9667982974315814,1.2748796389722594,0.5887015126797439,0.03821847732854761,0.6998110007133458,0.0261582903058432
0.3,8.443311107154996,2.4204724969197184,4.669726137877832,1.2589137874063534,2.4568585562694545,0.8614531396838826,0.5942773529980606,0.03062355814377171,0.6996420092560224,0.025825293739542916
0.4,7.4143590822530445,3.326474674252554,4.798919171157757,1.0770338243112219,2.3801944251134235,0.5020109098372195,0.5884745556623525,0.021503668837107602,0.7012409384246114,0.021657112486907486
0.5,7.802926087167619,2.2316219691053107,5.118127147766323,1.415355633267634,2.558768551036592,0.8396642932459149,0.6025753109175739,0.034711559408161424,0.7065974127160239,0.02570658565401637
0.6,8.187554958541703,2.6778643606492056,4.796950104387513,1.5778939657003341,2.737338630932151,0.9213702323580149,0.5924192776440503,0.034497619918054494,0.6995050376135508,0.015483465156475279
0.7,7.932446174346027,2.5647821876969026,4.60660810716039,1.108953546976176,2.6867120361229344,0.7575195506594931,0.5859919722392537,0.024347582934206722,0.7023363672132942,0.01484824764867993
0.8,6.527422626465336,3.7060706179082716,5.053694158075602,1.479493680312198,2.889741701597371,1.3161250977477341,0.5733918311963238,0.032314103240590995,0.6898718097444769,0.033290768780909634
0.9,7.671430189839615,3.2865161236168077,4.670053191776314,1.113434334774536,2.8906628472166025,1.2385639632919736,0.579451975075188,0.03151868521791681,0.69168854784837,0.025089680022121606
1.0,8.18426418941883,3.065164954642512,4.796619678799354,1.549111177425903,2.941157271790556,1.3055930469620163,0.5821503266642211,0.04481783908721915,0.690482562383544,0.032632587618879626
