fold,gamma,lift@1%,lift@2%,lift@5%,pr_auc,roc_auc
0,0.0,12.0,12.4,9.44,0.276182784293564,0.38271264367816094
1,0.0,12.903225806451614,11.693548387096774,11.612903225806452,0.2976196919391799,0.43520684560453093
2,0.0,11.382113821138212,13.008130081300813,9.59349593495935,0.2783801656510604,0.3967541974270318
3,0.0,11.290322580645162,12.5,10.161290322580644,0.29486478598768695,0.39645902855024096
0,0.05,14.4,13.2,9.44,0.29677387389595933,0.40404597701149425
1,0.05,14.516129032258064,13.709677419354838,12.096774193548386,0.3130174598027671,0.45946195518345234
2,0.05,13.821138211382115,13.008130081300813,9.59349593495935,0.29656602611214533,0.42167398685481106
3,0.05,11.290322580645162,13.306451612903226,10.32258064516129,0.3028073432136107,0.4110431343468051
0,0.1,14.4,12.8,9.44,0.31050086101699437,0.41805363984674326
1,0.1,14.516129032258064,14.516129032258064,12.096774193548386,0.32681687696520434,0.4784843634572765
2,0.1,15.447154471544716,14.227642276422765,9.75609756097561,0.30778499806142856,0.4354421705136592
3,0.1,11.290322580645162,12.903225806451614,10.64516129032258,0.31183021902084385,0.42269187986651835
0,0.2,16.0,13.2,9.6,0.32958248994820827,0.43791570881226055
1,0.2,15.32258064516129,15.725806451612904,12.096774193548386,0.35168185305526545,0.5056944102437823
2,0.2,14.634146341463415,15.040650406504065,10.24390243902439,0.3282594410063114,0.4583683767872162
3,0.2,12.096774193548388,11.693548387096774,10.483870967741936,0.3228243779508523,0.4420343591645038
0,0.33,16.0,14.8,9.76,0.3547668252055302,0.46176245210727973
1,0.33,18.548387096774192,15.725806451612904,12.096774193548386,0.3746510596332175,0.5296109332676681
2,0.33,16.260162601626018,14.634146341463415,10.24390243902439,0.34845586412601004,0.47758776438339096
3,0.33,12.096774193548388,12.096774193548388,10.483870967741936,0.33036720543610687,0.45488814732418725
0,0.5,16.0,15.6,9.92,0.3748828680436016,0.4795708812260536
1,0.5,18.548387096774192,15.725806451612904,11.774193548387096,0.4100437292799375,0.554820241319872
2,0.5,17.073170731707318,13.821138211382115,10.40650406504065,0.37361636800770964,0.4963710556645796
3,0.5,13.709677419354838,10.887096774193548,10.0,0.3431468171852534,0.4680818193054011
0,0.66,15.2,16.0,9.92,0.38889250170686596,0.49498850574712644
1,0.66,17.741935483870968,16.532258064516128,11.774193548387096,0.4268146524428983,0.5707953705983748
2,0.66,17.88617886178862,14.227642276422765,10.56910569105691,0.38727448083503274,0.5089866990623929
3,0.66,13.709677419354838,11.290322580645162,10.32258064516129,0.35269774348143423,0.4796069707081943
0,0.8,15.2,15.6,9.6,0.3979580359983268,0.5061455938697318
1,0.8,17.741935483870968,16.532258064516128,11.774193548387096,0.4406065020996325,0.5840310268406796
2,0.8,17.88617886178862,13.414634146341463,10.081300813008129,0.4023284212211973,0.5183004703610254
3,0.8,15.32258064516129,10.887096774193548,10.161290322580644,0.35881386522716197,0.4859720677295761
0,0.9,15.2,15.6,9.6,0.4037012644567145,0.5120919540229885
1,0.9,17.741935483870968,17.338709677419356,11.935483870967742,0.44443720506565604,0.5891098251662151
2,0.9,17.88617886178862,13.414634146341463,10.40650406504065,0.4108699651176395,0.5246550166651092
3,0.9,13.709677419354838,11.290322580645162,9.838709677419354,0.36358588407575043,0.49057594858484743
0,1.0,15.2,15.6,9.6,0.4105122658657692,0.5182528735632184
1,1.0,17.741935483870968,18.14516129032258,11.935483870967742,0.45517737037411904,0.5968049741442994
2,1.0,17.073170731707318,14.227642276422765,10.24390243902439,0.4210341968207056,0.5304800174438526
3,1.0,14.516129032258064,11.693548387096774,9.838709677419354,0.3667837830917989,0.49425287356321834
