gamma,lift@1%_mean,lift@1%_sd,lift@2%_mean,lift@2%_sd,lift@5%_mean,lift@5%_sd,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd
0.0,11.293915552058746,2.8854778550030575,8.873688696564384,1.297743436408141,6.412150537634409,0.19219226219910074,0.27563129191979135,0.019812956456710537,0.35424831766971776,0.024934170719156105
0.05,8.27292158405455,1.5808215038160567,6.45265538945712,0.7490763093443227,4.6805061631261475,0.6892553011277284,0.3345215929253593,0.021896543803094495,0.4582532285866097,0.042530652433483945
0.1,7.871308680828744,1.9575259182330953,6.451848937844217,0.9891098705883088,4.720828743771309,0.6811031873833961,0.3340127260092927,0.021488905669000247,0.45904160923026455,0.04247858289170699
0.2,8.674534487280356,1.2634135790929435,6.755087857330187,0.8435580242423921,4.842124311565696,0.7291043927706403,0.33506571560924003,0.020230921591338876,0.46046211384595215,0.04177964716038565
0.33,8.07292158405455,1.797559865972856,6.654281405717283,1.0765682949658653,4.720828743771309,0.6811031873833961,0.3340675651986147,0.02261465426498575,0.4592880224494872,0.04228408662757643
0.5,8.474534487280357,1.454635898905965,6.653461841070024,0.7003129891677586,4.840823498557566,0.4859568001745635,0.3343977918943143,0.021169632226514995,0.45968526572213547,0.04262763540767721
0.66,8.07292158405455,1.797559865972856,6.351029373196957,0.6067677847608001,4.679205350118017,0.462952939957977,0.3331560111673855,0.02136644471121202,0.4581294673274967,0.04236026929934901
0.8,8.271308680828744,1.5712847158830006,6.352655389457121,0.7130849092098432,4.7992001049042745,0.2933816531971157,0.33325052953381484,0.020850927886104056,0.45847973233574246,0.04277665983836098
0.9,8.271308680828744,1.5712847158830006,6.251029373196959,0.5370676346073346,4.678877524259113,0.3499976370714774,0.33292088798135827,0.020493874389880352,0.45956113786682506,0.04245506127769396
1.0,8.47292158405455,1.4445662955012366,6.351835824809861,0.4077028852930938,4.920823498557565,0.40918857083848365,0.3340781769491237,0.019765821174985102,0.4602427991718788,0.04229685904859152
