fold,gamma,pi,best_iter,lift@1%,lift@2%,lift@5%,pr_auc,roc_auc
0,0.0,0.02,343,16.836734693877553,14.285714285714286,11.326530612244897,0.29103154124255315,0.4517328958014924
1,0.0,0.02,373,11.794871794871796,12.307692307692308,11.179487179487179,0.26435234910197064,0.417345731191885
2,0.0,0.02,303,14.948453608247423,14.43298969072165,11.030927835051545,0.2895495603119603,0.4246616558426813
3,0.0,0.02,425,14.795918367346939,13.010204081632653,10.918367346938775,0.2729264051264104,0.41393396565674734
0,0.05,0.02,433,17.857142857142858,14.285714285714286,11.530612244897958,0.3100335441708889,0.46698282837364025
1,0.05,0.02,419,12.307692307692308,13.333333333333334,11.692307692307692,0.27621238126083814,0.43969568892645816
2,0.05,0.02,400,16.494845360824744,14.175257731958764,11.649484536082474,0.2937695923537885,0.4320473227667015
3,0.05,0.02,426,14.285714285714286,14.03061224489796,10.714285714285714,0.28051335568963415,0.4279196260001798
0,0.1,0.02,437,17.346938775510203,15.561224489795919,11.73469387755102,0.3173013959471601,0.4762653960262519
1,0.1,0.02,421,13.333333333333334,14.871794871794872,11.794871794871796,0.29128316740541565,0.45956607495069035
2,0.1,0.02,467,15.97938144329897,13.917525773195877,11.340206185567009,0.286930806048199,0.4396316817294155
3,0.1,0.02,488,12.755102040816327,14.795918367346939,11.530612244897958,0.28461611184283764,0.44250089903802936
0,0.2,0.02,489,18.367346938775512,15.051020408163266,11.938775510204081,0.33414249487795933,0.4946057718241481
1,0.2,0.02,543,12.820512820512821,15.128205128205128,11.692307692307692,0.3053967376808955,0.48429416737109043
2,0.2,0.02,415,16.494845360824744,14.690721649484537,11.546391752577318,0.2934549959738816,0.4549593532857986
3,0.2,0.02,475,13.775510204081632,14.795918367346939,11.63265306122449,0.2951229453943083,0.4551660972759147
0,0.33,0.02,504,16.836734693877553,16.581632653061224,11.63265306122449,0.34466237073428785,0.5055515598309809
1,0.33,0.02,417,15.897435897435898,15.384615384615385,11.794871794871796,0.30712921520005587,0.48588334742180905
2,0.33,0.02,433,15.97938144329897,14.948453608247423,11.443298969072163,0.3024058047209229,0.4715813615513874
3,0.33,0.02,479,12.755102040816327,14.540816326530612,11.63265306122449,0.2969566953033919,0.4613469837274117
0,0.5,0.02,517,16.836734693877553,15.561224489795919,11.83673469387755,0.36019162566428553,0.5133170008091341
1,0.5,0.02,472,15.384615384615385,14.615384615384615,12.205128205128204,0.33289093191338404,0.507759932375317
2,0.5,0.02,468,16.494845360824744,14.43298969072165,11.649484536082474,0.3115772472453107,0.474692311185794
3,0.5,0.02,482,12.755102040816327,13.26530612244898,11.63265306122449,0.30697083303634753,0.4712251640744403
0,0.66,0.02,553,18.367346938775512,14.795918367346939,11.83673469387755,0.37984819883289184,0.5264036231232581
1,0.66,0.02,489,14.871794871794872,14.615384615384615,12.0,0.33707733656789757,0.5127416173570021
2,0.66,0.02,556,15.97938144329897,15.463917525773196,11.443298969072163,0.33450002358894726,0.49685498887324586
3,0.66,0.02,498,14.795918367346939,13.520408163265307,11.530612244897958,0.31228126813617185,0.47810280499865143
0,0.8,0.02,551,17.346938775510203,15.306122448979592,12.142857142857142,0.3897086942728853,0.5364559920884653
1,0.8,0.02,507,15.897435897435898,14.871794871794872,11.897435897435898,0.3499533331364324,0.5251169343477036
2,0.8,0.02,541,17.52577319587629,15.20618556701031,11.237113402061855,0.33257967450800696,0.49695717335028844
3,0.8,0.02,531,12.244897959183673,12.755102040816327,11.224489795918366,0.31711195287410077,0.4845646408343073
0,0.9,0.02,350,20.408163265306122,15.306122448979592,12.551020408163264,0.38832696195003746,0.5238694596781444
1,0.9,0.02,547,17.435897435897438,14.615384615384615,11.487179487179487,0.3594832405901499,0.533941955480417
2,0.9,0.02,570,19.072164948453608,14.175257731958764,11.443298969072163,0.34360515965994626,0.5031563649575367
3,0.9,0.02,522,12.755102040816327,13.010204081632653,11.428571428571427,0.3245066261147179,0.4861267194102311
0,1.0,0.02,405,18.877551020408163,14.795918367346939,12.142857142857142,0.39464405830281146,0.5305841499595433
1,1.0,0.02,562,17.94871794871795,13.58974358974359,11.179487179487179,0.3608215168118009,0.5346407438715131
2,1.0,0.02,541,17.52577319587629,14.948453608247423,11.649484536082474,0.34431917459397265,0.5059266996684681
3,1.0,0.02,501,14.795918367346939,13.010204081632653,11.63265306122449,0.316272384694063,0.47947383799334714
