gamma,lift@1%_mean,lift@1%_sd,lift@2%_mean,lift@2%_sd,lift@5%_mean,lift@5%_sd,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd
0.0,11.893915552058747,0.7430178523271902,12.400419617099397,0.5412625280590009,10.201922370836613,0.9904925312679022,0.2867618569678728,0.011041128670308447,0.40278317881499115,0.022586604008462935
0.05,13.506897456071334,1.5086563513065798,13.306064778389718,0.2960394875305757,10.363212693417257,1.2181505111739492,0.30229117575612063,0.007714435744230069,0.4240562633491407,0.024691370566169504
0.1,13.913401521111984,1.8104327082431735,13.611749278783112,0.8865982414988496,10.484508261211644,1.1897885650111544,0.31423323876611775,0.008556340846986896,0.43866801342104933,0.02754352333963944
0.2,14.513375295043272,1.7048375134155753,13.915001311303437,1.825027955158418,10.606136900078678,1.0615199425616226,0.33308704049015936,0.012736782534646954,0.4610032137519407,0.031075691134186924
0.33,15.72633097298715,2.676910789514362,14.314181746656178,1.55434630219436,10.646136900078679,1.0128688558319408,0.3520602386002161,0.01826882599043714,0.4809623242706315,0.033796314425800215
0.5,16.332808811959087,2.0370323935029484,14.00851035929714,2.255384389723923,10.525174403356937,0.8594912615936846,0.3754224456291255,0.027348994700733483,0.49971099937897656,0.03853229451882253
0.66,16.134447941253605,2.033493091243962,14.512555730396013,2.3633063083482737,10.646469971151324,0.7979992925984454,0.3889198446165578,0.03028071465716896,0.5135943865290221,0.03997710426456809
0.8,16.53767374770522,1.4758652462258182,14.108497246262786,2.513832662913089,10.404196170993966,0.9463771198466302,0.39992670613657966,0.033440272051822116,0.5236122897002533,0.04242841420390483
0.9,16.134447941253605,2.033493091243962,14.410916601101494,2.6278367147041513,10.445174403356937,1.0495454476759927,0.40564857967894014,0.033190775441738575,0.52910818610979,0.042404059910465516
1.0,16.132808811959087,1.5228651697960063,14.91658798846053,2.6927908700272973,10.404523996852872,1.0546788020652231,0.4133769040380982,0.03644648218069074,0.5349476846786472,0.04389786889458541
