fold,gamma,pi,best_iter,lift@1%,lift@2%,lift@5%,pr_auc,roc_auc
0,0.0,0.02,334,15.2,11.2,9.12,0.27478771779437355,0.3694406130268199
1,0.0,0.02,295,12.903225806451614,12.903225806451614,11.129032258064516,0.2914476820329288,0.4318671509480424
2,0.0,0.02,329,13.821138211382115,12.601626016260163,10.081300813008129,0.28267331205193785,0.39955767373765694
3,0.0,0.02,330,13.709677419354838,12.5,10.161290322580644,0.30357583553113754,0.4117538005190953
0,0.05,0.02,313,14.4,11.6,8.96,0.29022628925516103,0.3881072796934866
1,0.05,0.02,314,12.903225806451614,13.306451612903226,11.129032258064516,0.2994232601943315,0.4464571534104901
2,0.05,0.02,217,15.447154471544716,13.008130081300813,9.91869918699187,0.2879313394038037,0.4048531289910601
3,0.05,0.02,303,15.32258064516129,13.306451612903226,9.35483870967742,0.3055904144201316,0.41428747991595605
0,0.1,0.02,344,13.6,13.2,8.96,0.30561176263480916,0.39785440613026823
1,0.1,0.02,333,14.516129032258064,14.516129032258064,11.612903225806452,0.3053860935365361,0.4599236641221374
2,0.1,0.02,351,17.88617886178862,13.008130081300813,10.40650406504065,0.30982540179157075,0.43485032551474934
3,0.1,0.02,316,15.32258064516129,13.709677419354838,9.67741935483871,0.3202793862318404,0.4303238165863305
0,0.2,0.02,331,15.2,13.6,8.96,0.32077158817759877,0.4104521072796935
1,0.2,0.02,353,16.935483870967744,14.112903225806452,11.451612903225806,0.3220673519273371,0.47629894114750065
2,0.2,0.02,280,16.260162601626018,13.008130081300813,10.40650406504065,0.3102430963426789,0.441672117870604
3,0.2,0.02,327,14.516129032258064,11.693548387096774,9.67741935483871,0.33169781553996014,0.43611729081695716
0,0.33,0.02,347,12.8,14.4,8.96,0.3299989793782818,0.41866666666666663
1,0.33,0.02,381,18.548387096774192,13.306451612903226,11.129032258064516,0.3564732990249305,0.50164676188131
2,0.33,0.02,282,15.447154471544716,13.414634146341463,10.24390243902439,0.3441059885570936,0.4591159704700495
3,0.33,0.02,349,16.129032258064516,12.096774193548388,9.516129032258064,0.3361353219422121,0.4472253120751452
0,0.5,0.02,308,14.4,14.8,9.44,0.3419963752450491,0.43031417624521073
1,0.5,0.02,395,20.161290322580644,14.919354838709678,11.129032258064516,0.40430352535890357,0.5273485594681112
2,0.5,0.02,466,17.073170731707318,15.040650406504065,10.24390243902439,0.39699028438591266,0.5027567517054482
3,0.5,0.02,390,15.32258064516129,10.887096774193548,9.838709677419354,0.34952027319633616,0.4592757384748486
0,0.66,0.02,329,15.2,14.4,8.96,0.35194379019469385,0.44239080459770114
1,0.66,0.02,419,20.161290322580644,16.129032258064516,11.29032258064516,0.4311065659825817,0.5472328244274809
2,0.66,0.02,209,15.447154471544716,13.821138211382115,9.91869918699187,0.3730154737493936,0.4809207862193565
3,0.66,0.02,369,12.903225806451614,11.693548387096774,9.67741935483871,0.35086928033131604,0.46718576195773076
0,0.8,0.02,316,16.8,16.8,8.96,0.3573701246907418,0.44940996168582376
1,0.8,0.02,400,20.967741935483872,16.129032258064516,10.806451612903226,0.4318980671844757,0.5563438808175327
2,0.8,0.02,211,14.634146341463415,13.414634146341463,9.91869918699187,0.38100618486565646,0.48761797962807224
3,0.8,0.02,379,13.709677419354838,12.096774193548388,9.67741935483871,0.3496810325786991,0.4667840810777407
0,0.9,0.02,328,16.0,14.8,9.12,0.3583407273266594,0.454896551724138
1,0.9,0.02,447,21.774193548387096,15.32258064516129,11.129032258064516,0.44285982929049866,0.5586216449150456
2,0.9,0.02,434,20.32520325203252,15.447154471544716,10.56910569105691,0.4238650022046157,0.5269600971871787
3,0.9,0.02,372,12.903225806451614,11.693548387096774,9.838709677419354,0.3549638552425765,0.4696267457669015
0,1.0,0.02,412,17.6,14.4,8.8,0.3549161953071866,0.4652873563218391
1,1.0,0.02,453,21.774193548387096,15.32258064516129,10.96774193548387,0.45604109567423057,0.567332553558237
2,1.0,0.02,413,21.951219512195124,15.040650406504065,10.24390243902439,0.4203053678394322,0.5232844282465814
3,1.0,0.02,384,13.709677419354838,11.290322580645162,9.67741935483871,0.3578966916965073,0.4758991472005933
