fold,q1,q0,n1_cal,n0_cal,alpha
0,0.9958211471001862,0.9642909522553055,26,35,0.1
1,0.7918891089491756,0.5660068570878122,27,34,0.1
2,0.9802842250810453,0.7303143721096856,24,37,0.1
3,0.9970609165574614,0.5504500406567027,29,32,0.1
