COD_ESITO;ESITO
1.0;AGGIUDICATA
6.0;ANNULLATA/REVOCATA PRIMA DELL'APERTURA DELLE BUSTE AMMINISTRATIVE
7.0;ANNULLATA/REVOCATA DOPO L'APERTURA DELLE BUSTE AMMINISTRATIVE
90.0;NON È ANCORA STATO SELEZIONATO UN VINCITORE MA LA GARA È ANCORA IN CORSO.
98.0;NON È STATO SELEZIONATO NESSUN VINCITORE E LA GARA È CHIUSA.
99.0;NON AGGIUDICATA
