fold,n_P,n_N,ece_raw,ece_calib,brier_raw,brier_calib
0,125,261,0.31333298791019,0.07543106752687165,0.3314744055728267,0.21469262067516634
1,124,262,0.3763512953367876,0.08082441994457182,0.37379321473805416,0.20367627257551343
2,123,261,0.3544329861111111,0.11377408803056815,0.35297278668981485,0.20970960672421968
3,124,261,0.31302909090909087,0.09164303752693753,0.32228035104184705,0.2131413547840606
overall,496,1045,0.33924815055158986,0.09038704569473477,0.3451348388578845,0.21030389576166517
