fold,a,b,se_a,se_b,n_P,n_N,note
0,-1.0158205670679668,-0.4385569042031238,0.4121450695707544,0.158470814475522,125.0,261.0,per-fold
1,-2.2191339032442503,-0.12987919581647492,0.4506553378958354,0.15712026604473553,124.0,262.0,per-fold
2,-1.3375338566605453,-0.35918276165477786,0.40484635798396845,0.156032077447296,123.0,261.0,per-fold
3,-1.1739709428060816,-0.42220277685415986,0.4445704491316847,0.1591384053230751,124.0,261.0,per-fold
mean,-1.4366148174447109,-0.3374554096321341,0.5379599620993426,0.1425524357602176,,,cross-fold mean (se_a/se_b = cross-fold SD)
global,-1.4300228065076181,-0.33724532024495885,0.2124797781415018,0.07865495020783905,496.0,1045.0,global fit su tutti gli OOF labeled
