cig,label,score_raw_final,score_calib_final
011759741C,,0.998019267362178,0.9999481079429534
0080520F30,,0.9239638385462073,0.9998060652308753
01175258B0,,0.9563021062966885,0.9998909453055914
01129243D4,1.0,0.9976083436028005,0.9999477269194837
01088788F5,,0.9904358740132836,0.9999406071090085
0116863664,,0.9754513130749496,0.9999224483160293
0116685381,,0.9145180242561557,0.9997705554067283
01188920C8,,0.9984997543064259,0.9999485499472248
0120704815,,0.9995235135198126,0.9999494791967826
0120751EDC,,0.9887077676280893,0.9999387514456315
0125636E17,,0.9657880553337692,0.999907890628973
0430761338,,0.9979225050112447,0.9999480184721149
0430694BEB,,0.998317216862162,0.9999483824745666
00836917FD,1.0,0.9988212896726619,0.9999488436259494
01248315CB,,0.9926106072299761,0.9999428626856643
01203514C8,,0.9983719318755133,0.9999484327310864
0124665CCC,,0.9740920734535297,0.9999205488086375
04307011B5,,0.9977535372744563,0.9999478618668945
013102091D,,0.9293435143482013,0.9998237755066324
0128398560,,0.9954436342718755,0.9999456730508581
0134148E6A,,0.9997173958283219,0.9999496532811761
0142633877,,0.9978000980176753,0.9999479050680532
013964892A,,0.9820932456475671,0.9999310970556465
0136183DC0,,0.9399449763300658,0.9998540829366361
0142004168,,0.5963624306128643,0.9379124693718656
013150160D,,0.997524537973922,0.9999476488690667
469885951C,,0.9991007495847135,0.9999490975125723
0136763C62,,0.9966855002628138,0.999946860998318
0127654F65,,0.9986608301720618,0.999948697278199
0137049867,,0.9773994201762842,0.9999250918463092
01485982F2,,0.9980569519135837,0.9999481427461124
015337590B,,0.9334569668403274,0.9998362183074803
0146005721,,0.9809094674822486,0.9999296295328293
01267315B9,,0.8800984093126748,0.9995766151724179
0109226823,,0.9814140461775136,0.9999302588395668
0146599152,,0.9872889613062954,0.9999371846543195
015080610C,1.0,0.9995089172974773,0.9999494660666884
0152078AB9,,0.9960993669598764,0.9999463035852519
0149441A9A,,0.9887829325351034,0.999938833351774
01445706EE,,0.9953708116844546,0.9999456025714893
0315554365,,0.9901932707018334,0.9999403500302502
0125982B9F,,0.9846725184458344,0.9999341894541635
0145053584,,0.9973726679299697,0.999947507131391
01483473D0,,0.9687555953474731,0.9999126304581967
0431292968,,0.9976885557908024,0.9999478015142484
0154665198,,0.9972225609063253,0.9999473666620453
0140785374,,0.7353014380097269,0.9944523088295488
0140883453,,0.3131171216008319,0.0888428208897092
0430987DB5,,0.9995186206723493,0.9999494747957809
01580467AD,,0.8403473052983589,0.9991411599719827
0173776C7A,,0.999583805012371,0.9999495333961135
0164122DBE,,0.9986671969960904,0.9999487030930556
0158814175,,0.9877491324368128,0.9999376971648951
0159444957,,0.9958950664253327,0.9999461079243211
01307298F9,,0.9997096868757521,0.9999496463708727
0150283174,1.0,0.9998432349927447,0.9999497659493867
01610441B6,,0.7003940048429196,0.989720908778292
0166837E3B,,0.9943889781987837,0.9999446433558887
01170039EB,,0.99975049180773,0.999949682937632
0161057C6D,,0.9116407533382145,0.999758498171687
0163344BB8,,0.9994809392489219,0.9999494408893759
0164727105,,0.5562136740269585,0.8808280140780055
04308615BD,,0.9947589169234071,0.999945006742442
0157899E5C,,0.8863667199323527,0.9996213077258005
01636063F0,,0.9043445656082653,0.999725006797127
01508250BA,,0.9949832867870021,0.9999452259753082
01600605AF,,0.9914969635262391,0.9999417185539532
0153789EAE,,0.9973748300128777,0.9999475091519155
01693800CC,,0.9998966931153677,0.9999498137359811
0172500F7C,,0.6246962515702194,0.9615642241084836
0144870E7D,,0.9985102134661181,0.9999485595267167
01787537A2,,0.9976985542482785,0.9999478108050295
017925885F,,0.9951570836121744,0.9999453951921806
01694022F3,,0.9637865620874985,0.9999045494468726
016521106E,,0.9973670234793486,0.9999475018561338
0094698342,,0.930727561781848,0.9998280642027824
0169223F38,,0.4023730612267667,0.32328510579313074
0178952BD9,,0.9995901630369528,0.9999495391083005
01713602BE,,0.9952758590305173,0.9999455105367897
0177747974,,0.9820664261462484,0.999931064148906
01607173DC,,0.7675291836116565,0.9968669169600629
0178991C08,,0.9935998904751338,0.9999438602011405
018024460C,,0.922175718907441,0.9997997930383602
0175787803,,0.9978704961187068,0.9999479703186244
01446286CB,,0.9456152383254808,0.9998680928989885
018142764A,,0.9971654263433865,0.9999473130971224
0188569C0C,,0.6927137899111625,0.9882324360773119
0184321A7D,,0.9994121530977192,0.9999493789357043
0187246847,,0.49822259939881425,0.7246826858515801
0145608F81,,0.9676727548098327,0.9999109298602592
0191362CE7,,0.9831180675150107,0.9999323427839759
01844103F1,,0.9327695802586612,0.9998342019047881
0183798AE5,,0.845187507927971,0.9992120161308342
0182659EF5,,0.9942851441774888,0.9999445409300626
0188553ED7,,0.9994816444874973,0.999949441524171
0192579935,,0.9854139537283905,0.9999350524323831
0182174EB9,,0.985177110831493,0.9999347780011403
0189415632,,0.994559677117547,0.9999448113288634
0172653DBF,,0.9602556517864578,0.9998983569455171
019525270A,,0.5269370131933737,0.8144285849887455
0185845424,,0.9947795491049899,0.9999450269388248
018823044E,,0.9997444611983456,0.9999496775350597
0185712662,,0.9955516007260666,0.999945777375258
01909118BB,,0.9911925208996123,0.99994140180841
0430944A3A,,0.9994206256899935,0.9999493865708174
0188069F6E,,0.9994290933519125,0.9999493942003371
0176386653,,0.9729086697891811,0.9999188571842074
0203326DE8,,0.9972295147069957,0.9999473731776698
01879247C8,,0.9750676736762647,0.9999219168356906
0182150AEC,,0.9938108092891856,0.9999440706125727
018103961A,,0.9872524045510734,0.9999371437593326
018268546D,,0.9503928772632297,0.9998788479245638
0197722D57,,0.9813604958521145,0.9999301923198102
0201492474,,0.7049860647585469,0.9905202195708327
0195192587,,0.8286629403639874,0.9989427621984418
0126623C97,,0.9990539330469843,0.999949055068229
0197383599,,0.8004918047781696,0.9982553812607556
0193836685,,0.8743488575037687,0.9995310003140472
0198417AE0,,0.9997604199228514,0.9999496918305538
01965072B4,,0.9996929242057273,0.9999496313415456
01999045FE,,0.9886631264778935,0.9999387027488977
0193218887,,0.8128792730424862,0.9986001958243794
0203463EF6,,0.9966115628523895,0.9999467910039598
01794441DF,,0.8504075119967502,0.9992818995067695
0208679F57,,0.9892457318350142,0.9999393352499865
0203771D22,,0.9943962618561245,0.9999446505336613
0207871492,,0.9999534120458198,0.999949864387736
0207497FEC,,0.9172413541839755,0.9997814126498412
020975574B,,0.9873133957600347,0.9999372119736021
0210189D6F,,0.8334579226897132,0.9990291901732916
020662612B,,0.9959258147724059,0.9999461374178717
0202627D13,,0.9931120538200374,0.9999433705004349
02091113DA,,0.9595821333011758,0.9998971308855836
020379836D,,0.99729407677804,0.9999474336330316
021083528B,,0.9960629776688855,0.999946268786884
02127384F2,,0.9987328459338467,0.9999487630121833
020806008B,,0.3822205083709929,0.25020567389736537
021013942F,,0.6898753707733644,0.9876300153154207
020793488E,,0.9980471707753926,0.9999481337150918
0215251EBA,,0.9986420056375871,0.9999486800817896
0208255176,,0.6589913841190013,0.9787552188818659
0210730BE2,,0.9187343955216819,0.9997871454595972
021035024F,,0.9985183374804594,0.9999485669662301
020438255B,,0.9514048049200661,0.9998810108667221
02071208D2,,0.9025722533782025,0.9997161936388221
0208146781,,0.6864252011586615,0.9868566344780698
02070406CE,,0.9997976381036653,0.9999497251540512
020921165F,,0.983725769737296,0.9999330708171604
0206116C4A,,0.9780191593898071,0.9999259137761284
0204838DA6,,0.6975359087181491,0.9891901091724614
0205972577,,0.90270982562732,0.9997168877369335
0213318394,,0.9718496755288487,0.9999173128864127
0222366E36,,0.9988698839514973,0.999948887864152
0213508060,,0.9999050911471928,0.9999498212389089
01958650E9,,0.9992980112818881,0.9999492759639724
0225780F88,,0.9995082154427872,0.9999494654352461
022066742A,,0.9977673902451591,0.9999478747240482
0219998C14,,0.99278825292694,0.9999430431061272
02159829F9,,0.9866384716284161,0.9999364529788283
0222575AB0,,0.9928593097290668,0.9999431151132073
0220462AFC,,0.9800833301744023,0.9999285868981591
0224089C14,1.0,0.9985344986029817,0.9999485817624744
02128143AA,,0.9971881400171574,0.9999473343982209
02076172F7,,0.9996762257606152,0.999949616365342
0216514101,,0.893217893209183,0.9996647797716036
02245031BC,,0.9995671077082648,0.9999495183918148
02753509FF,,0.9957556373639521,0.9999459739823923
0226485554,,0.9998836237929346,0.999949802057421
0219514CAB,,0.9872218031214651,0.9999371095059272
0241947CF7,,0.9461482880880981,0.9998693386825739
0228687E77,,0.9233733865875898,0.9998040161338446
0207281DAD,,0.9998088137951601,0.9999497351559568
0222841634,,0.996003756097428,0.9999462121062332
0226141972,,0.9995058979844714,0.9999494633502268
0222596C04,1.0,0.9996221888628418,0.9999495678711682
0085673B95,,0.9949112105942,0.9999451556447614
0243442EAD,,0.999055819941874,0.999949056779591
02176033AC,,0.98206074562928,0.9999310571770619
0223086064,,0.9915835579593697,0.9999418083346377
02320169A6,1.0,0.9982874102005712,0.9999483550761186
0239638B85,,0.9990950398330102,0.9999490923379479
023226357C,,0.9995151230436975,0.999949471649511
0242089229,,0.9468784164981757,0.9998710259859789
0239158F68,,0.9798403920346194,0.9999282773667999
0228333A57,,0.9942273198661212,0.9999444838078329
0231843AE2,,0.15165211323808112,0.005472114121247994
0431287549,,0.9995372191669336,0.9999494915226504
0236494903,,0.5568452897131275,0.8820033996508231
023371755D,,0.9994827295543905,0.9999494425008388
0242373C83,,0.994093180546916,0.9999443510705451
0238857706,,0.9989789363053008,0.999948987001663
0229633B22,,0.999745296780633,0.9999496782836578
023292796E,,0.827120663577482,0.9989133612218756
0225414184,,0.9988517206920711,0.9999488713335577
023763134D,,0.9982791325815215,0.9999483474647055
0240435D39,,0.9981185614267594,0.9999481995946455
02322098EB,,0.9972526107042304,0.9999473948125435
0239609399,,0.9837313134158997,0.9999330774223564
02318039E0,,0.9994390599195774,0.9999494031789249
0225080DE0,,0.997525995338231,0.9999476502273441
023185659E,,0.8944204291185107,0.9996718782867229
023152761E,,0.9998520867011533,0.9999497738651335
0238563469,,0.9983860519387094,0.9999484456926211
0240917AFC,,0.9120278037399427,0.9997601562722861
0229267D19,,0.9922695662765357,0.9999425147145422
0239363896,,0.9962702548906321,0.9999464667008745
02542895EA,,0.9982408915353285,0.999948312286843
1390583962,,0.9891023365114421,0.999939180182008
0242160CBD,,0.8171207198142134,0.998701878037889
0249803FF0,,0.9313825836393325,0.9998300573573612
05792593A5,,0.9964785372667617,0.9999466648403482
0244921333,,0.991492378529079,0.9999417137963914
0221974ABA,,0.2246990165366374,0.019800267468601487
0255288E4E,1.0,0.9963020140829243,0.999946496960955
0249606D5F,,0.9689945311414383,0.9999130013119623
0251356188,,0.9908001115268655,0.9999409910007021
0249395F3F,1.0,0.9938353530203685,0.9999440950459849
0182904925,,0.9991573693355476,0.999949148797368
02451353CC,,0.931506903067251,0.9998304330302121
02499866F7,,0.6809290323020702,0.9855250180883532
04312663F5,,0.999507625556169,0.9999494649045327
0279404B76,,0.9994486702239401,0.9999494118350571
0265217FF9,,0.9996736661817497,0.999949614069359
01933136ED,,0.9162836884431115,0.9997776545114959
0257760646,,0.9942487051220804,0.9999445049402893
0252555EF6,,0.9563679430219777,0.9998910730475009
0238661548,,0.26292820475547823,0.03836753992012887
0260152C35,,0.9778560547620269,0.99992569833687
0265948B38,,0.9781658195391633,0.9999261069610568
0261811544,,0.9985654413862771,0.9999486100801271
0260015B27,,0.9992648568489307,0.9999492460148443
025892038A,,0.996875793990802,0.9999470407206342
02608994A9,,0.9991001039877755,0.9999490969275081
0261134696,,0.9982217919734402,0.9999482947082242
0258687343,,0.9794247527293922,0.999927744679922
0262628779,,0.9993947350088486,0.9999493632357004
02609330B9,,0.7570396739744306,0.996226013788152
026231552E,,0.9738733036980204,0.9999202387657611
025228502B,,0.475335279486626,0.6365263475763551
025769724A,,0.9697218193649902,0.9999141204813844
0270678A8A,,0.9967831817963628,0.9999469533293868
0265602DB0,1.0,0.999890196743935,0.9999498079312559
02671814BB,,0.9916106095221645,0.999941836353206
0278122986,,0.46961790089925,0.6126643512093092
02708020E1,,0.9706355203225432,0.9999155061261907
0266686C3C,,0.9177421208248461,0.9997833524382476
0271066ABA,,0.9699779668523952,0.9999145112100586
02683032A3,,0.9093490184707936,0.9997484430241246
0431488B26,,0.9986686765377598,0.9999487044442349
0267365C90,,0.9989318879103635,0.9999489442544277
0270101E61,,0.996828945857093,0.9999469965315388
0258949B76,,0.996527429708146,0.999946711245458
0265941573,,0.9987697952981893,0.9999487967058376
00488242D6,,0.9827466132274334,0.9999318938841477
02654819D7,,0.9840867276796126,0.9999334995345643
0270736A67,,0.9892001541386048,0.9999392860050851
02875952E6,,0.9890171680597045,0.9999390878931305
02629988CE,,0.9983064125743558,0.9999483725448853
0186494BB4,,0.9978645252036552,0.9999479647874776
00829650E2,,0.9946751176481503,0.9999449246369053
02860041F7,,0.98656829894554,0.9999363735405895
02807588D2,,0.9911247213008214,0.9999413310349152
02814579A7,,0.9878292033892959,0.9999377859150034
028238142B,,0.9994301820062044,0.9999493951811512
02927332E9,,0.9994211313714144,0.999949387026478
025496214C,,0.9993448390714347,0.9999493182344402
02922937CE,,0.33980815367654005,0.13556393113514698
02820177C8,,0.041587301418189414,0.0007747308885764399
028586928F,,0.9987578966172501,0.9999487858580014
0278886002,,0.9931494203748347,0.999943408160354
0278459F9E,,0.993437788014364,0.9999436979508421
0281437926,,0.9962596857957577,0.999946456626872
0292953874,,0.9618902961338385,0.9999012721989368
0289921260,,0.9987749803154434,0.9999488014322155
0297479F6B,,0.9994874934339829,0.9999494467885807
04316500D9,,0.9983477682443519,0.9999484105424824
0290979B74,,0.9997704983726049,0.9999497008565278
0290317928,1.0,0.9997926253266385,0.999949720667121
0289018930,,0.9984947620989035,0.999948545374258
02936843B3,,0.9926379239176999,0.9999428904661662
