fold,copertura_marginale,copertura_classe1,copertura_classe0,ampiezza_media,frac_singleton,frac_ambiguo,frac_vuoto,n1_test,n0_test
0,1.0,1.0,1.0,1.903225806451613,0.0967741935483871,0.9032258064516129,0.0,27,35
1,0.9354838709677419,1.0,0.8888888888888888,1.8064516129032258,0.1935483870967742,0.8064516129032258,0.0,26,36
2,0.9672131147540983,1.0,0.9393939393939394,1.8360655737704918,0.16393442622950818,0.8360655737704918,0.0,28,33
3,0.9180327868852459,0.8260869565217391,0.9736842105263158,1.8524590163934427,0.14754098360655737,0.8524590163934426,0.0,23,38
mean_oof,0.9551824431517716,0.9565217391304348,0.950491759702286,1.8495505023796934,0.15044949762030668,0.8495505023796932,0.0,104,142
