"fold","best_iter","pr_auc","roc_auc","pr_auc_baseline","roc_auc_baseline","lift_1pct_globale"
1,0,0.701032613687794,0.749496183206107,0.701032613687794,0.749496183206107,13.4920634920635
2,1,0.725974925763582,0.796475095785441,0.716272534118269,0.794636015325671,13.4920634920635
3,0,0.799433835983405,0.832196367940691,0.799433835983405,0.832196367940691,13.4920634920635
4,0,0.722966699073021,0.785222564869327,0.722966699073021,0.785222564869327,13.4920634920635
