fold,a,b,se_a,se_b,n_P,n_N,note
0,1.1768759148551295,-0.8959738592991854,0.7781997635656513,0.153694901846594,125.0,261.0,per-fold
1,1.6698122247071663,-0.983346592717192,0.8747377637334859,0.16707924041716835,124.0,262.0,per-fold
2,0.37801805643769104,-0.8019334057383333,1.0396081255558074,0.17500783800146075,123.0,261.0,per-fold
3,-0.1891541746914042,-0.7161531883245089,1.0496702425135387,0.19098450787056934,124.0,261.0,per-fold
mean,0.7588880053271456,-0.849351761519805,0.826305576855208,0.11564110450764936,,,cross-fold mean (se_a/se_b = cross-fold SD)
global,0.8874361589133948,-0.8688583852260873,0.45345978531542,0.0842091595351649,496.0,1045.0,global fit su tutti gli OOF labeled
