fold,q1,q0,n1_cal,n0_cal,alpha
0,0.8122187427163088,0.4055552888598898,96,229,0.1
1,0.8514239310377655,0.47719301400289377,91,234,0.1
2,0.729527123224124,0.31952160173708044,88,236,0.1
3,0.8394142534167637,0.46986141675939996,103,222,0.1
