feature,mean_abs_shap
importo_lotto,0.13110967288888384
finestra_offerta_giorni,0.060275583803884036
flag_subappalto,0.05081718588321188
flag_urgenza,0.04525642735569678
flag_consuntivo_presente,0.04282827185141412
importo_complessivo_gara,0.04094331351410314
n_sal,0.03316107469856207
lag_perfezionamento_giorni,0.030888200112858744
flag_accordo_quadro,0.019834335096115634
flag_ripetizioni,0.019763384753751095
cod_modalita_realizzazione,0.014155994905652863
flag_variante_sostanziale,0.013853148768073515
n_varianti,0.013698018376948312
n_lotti_componenti,0.01203972420100313
flag_sosp_giudiziaria,0.01056216220620305
flag_sospensione,0.009499945911495515
flag_variante_oltre_termine,0.008465208478941591
n_sospensioni,0.006812055666647747
flag_proroga,0.006458080851770473
durata_totale_sospensioni_gg,0.006265173860983535
asta_elettronica,0.006006011465477227
pct_durata_sospesa,0.005013391737752075
flag_proc_accelerata,0.004497673852362899
settore_speciale,0.004390609136299295
flag_scomputo,0.0016494662968914355
flag_appalto_riservato,0.00033789751575766323
