cig,label,score_raw_final,score_calib_final
011759741C,,0.012777732239850303,0.38816142169048523
0080520F30,,0.12240938388866401,0.4215004032606339
01175258B0,,0.014615067970059318,0.38871253991545246
01129243D4,1.0,0.13974107496935054,0.4268456268859185
01088788F5,,0.01571351222129982,0.3890421599127242
0116863664,,0.010978656258317194,0.38762205670997324
0116685381,,0.08353368038633094,0.40957929314315616
01188920C8,,0.01768138632113774,0.38963293105601593
0120704815,,0.01911318498652838,0.3900629719657719
0120751EDC,,0.15356208098327606,0.431120472043806
0125636E17,,0.024417171761622763,0.3916575101866742
0430761338,,0.014823666138377515,0.38877512801705094
0430694BEB,,0.017056909340928534,0.3894454230178601
00836917FD,1.0,0.7777322305125798,0.6250053059383508
01248315CB,,0.03443510281451982,0.39467549444268446
01203514C8,,0.18795174395975445,0.4418005362774509
0124665CCC,,0.009402687260519418,0.3871498056281818
04307011B5,,0.012621069108605195,0.38811444299613873
013102091D,,0.032798740672428835,0.39418197109060976
0128398560,,0.015488498955865708,0.3889746298954905
0134148E6A,,0.03397427922589996,0.3945364892531613
0142633877,,0.04435649322324033,0.3976723320165744
013964892A,,0.011264629057875099,0.38770777330077266
0136183DC0,,0.010861407212728118,0.38758691485891655
0142004168,,0.013042003746865935,0.38824067370210696
013150160D,,0.059799444973390195,0.4023522330654538
469885951C,,0.012283525809673072,0.38801323069395033
0136763C62,,0.012578308237244252,0.38810162062179276
0127654F65,,0.02316631385430426,0.3912812548142333
0137049867,,0.0179147327959993,0.3897030050120435
01485982F2,,0.0212391324364652,0.3907018157845603
015337590B,,0.012481236053177016,0.3880725129060165
0146005721,,0.020522240821890306,0.3904863489949779
01267315B9,,0.01650686519438806,0.38928029156489763
0109226823,,0.02324606421639826,0.39130523970023356
0146599152,,0.057256824187735776,0.40158045695856714
015080610C,1.0,0.7561565928937312,0.6185987950203365
0152078AB9,,0.022118590273188323,0.3909662012214363
0149441A9A,,0.04537457915317918,0.39798029195193685
01445706EE,,0.026736771008034583,0.39235558121711894
0315554365,,0.06486517638651317,0.4038913026678713
0125982B9F,,0.013040667052215519,0.38824027282774537
0145053584,,0.014981074936905038,0.3888223596126345
01483473D0,,0.011478333148080206,0.3877718328337705
0431292968,,0.01487443779568138,0.3887903621748651
0154665198,,0.023514851895133287,0.39138608134168085
0140785374,,0.017616459991348296,0.38961343448680985
0140883453,,0.043440150169769785,0.397395217460818
0430987DB5,,0.01264823706079744,0.38812258972195884
01580467AD,,0.012442920260770768,0.3880610238902189
0173776C7A,,0.02261955834823773,0.39111683248617923
0164122DBE,,0.029526416932263672,0.39319569325598797
0158814175,,0.010392470394822485,0.38744637694481465
0159444957,,0.013181301931010584,0.38828245001856626
01307298F9,,0.06266294718663037,0.40322198749746246
0150283174,1.0,0.42392567997374264,0.5160201525041753
01610441B6,,0.014387743064835062,0.38864433719417757
0166837E3B,,0.09771314719116245,0.4139158598159544
01170039EB,,0.04738391922323689,0.3985883323531017
0161057C6D,,0.018839514564469625,0.38998076178441476
0163344BB8,,0.04451232096224312,0.3977194629698033
0164727105,,0.012136794612921314,0.3879692363812045
04308615BD,,0.01611663879711979,0.3891631551796997
0157899E5C,,0.016354909451287748,0.3892346766608362
01636063F0,,0.01145729108630084,0.3877655251329725
01508250BA,,0.026457369063979212,0.3922714733157463
01600605AF,,0.02171162731101851,0.39084385074197386
0153789EAE,,0.01849436312853434,0.38987708772790913
01693800CC,,0.36449121918874433,0.4972639362159371
0172500F7C,,0.016235708443265662,0.3891988956088278
0144870E7D,,0.010782267942500914,0.38756319592021315
01787537A2,,0.03297809158027875,0.3942360524323577
017925885F,,0.028545480507134506,0.3929002083599427
01694022F3,,0.02079645608020418,0.390568761268602
016521106E,,0.12040399342680369,0.42088308663695806
0094698342,,0.01566565862445686,0.3890277979396932
0169223F38,,0.014996717206323796,0.38882705329748984
0178952BD9,,0.014051077069128235,0.38854333763115373
01713602BE,,0.014133849892788104,0.38856816853336856
0177747974,,0.0466950974138652,0.3983798546995576
01607173DC,,0.06351278728386132,0.4034802336277705
0178991C08,,0.05087743905702093,0.3996462400730857
018024460C,,0.0668363259239518,0.4044906902338786
0175787803,,0.016462998044862055,0.3892671230855814
01446286CB,,0.05154457246689607,0.3998483682544794
018142764A,,0.04531226723471545,0.39796144095018876
0188569C0C,,0.019123827466401785,0.3900661690768561
0184321A7D,,0.034071809862453784,0.39456590747182024
0187246847,,0.011440330833327713,0.3877604410482383
0145608F81,,0.010441651469813703,0.3874611153771537
0191362CE7,,0.016198285458436577,0.389187662445206
01844103F1,,0.033019294720708484,0.3942484771632284
0183798AE5,,0.013291021373063979,0.3883153566582374
0182659EF5,,0.016463429165066774,0.3892672525027668
0188553ED7,,0.04864159984537436,0.3989690746969685
0192579935,,0.011994910788421949,0.3879266971895012
0182174EB9,,0.17252911866240667,0.4370036122923084
0189415632,,0.017194856409945596,0.38948684076355533
0172653DBF,,0.06723455374428026,0.4046118180963261
019525270A,,0.022117571840673197,0.39096589501992696
0185845424,,0.07180631895010335,0.4060032284028957
018823044E,,0.04495636660077841,0.3978537774078678
0185712662,,0.07318911847365148,0.4064243800348016
01909118BB,,0.01349805434367351,0.3883774519764209
0430944A3A,,0.01264823706079744,0.38812258972195884
0188069F6E,,0.03264770634707983,0.3941364303208235
0176386653,,0.013567903799429768,0.38839840271414433
0203326DE8,,0.01599714719353525,0.38912728929158913
01879247C8,,0.02231631022914799,0.39102564924995253
0182150AEC,,0.015057719639545325,0.3888453581399518
018103961A,,0.015932789622942485,0.3891079726036378
018268546D,,0.015707602662536943,0.38904038630681026
0197722D57,,0.033239558579278024,0.3943148996414664
0201492474,,0.011354696600486651,0.3877347713034558
0195192587,,0.014027309036190294,0.3885362075994963
0126623C97,,0.021207444112086568,0.3906922907357123
0197383599,,0.01384927431031948,0.3884828015319133
0193836685,,0.011837218101725423,0.3878794202354766
