fold,lift1_pi0.005,lam_pi0.005,prauc_pi0.005,rocauc_pi0.005,lift1_pi0.01,lam_pi0.01,prauc_pi0.01,rocauc_pi0.01,lift1_pi0.02,lam_pi0.02,prauc_pi0.02,rocauc_pi0.02,lift1_pi0.03,lam_pi0.03,prauc_pi0.03,rocauc_pi0.03,lift1_pi0.05,lam_pi0.05,prauc_pi0.05,rocauc_pi0.05
0,11.16751269035533,0.0018873918221350976,0.27813904678588763,0.4466112567635411,11.16751269035533,6.723357536499335e-05,0.2866730012551038,0.4588163105929603,11.6751269035533,1e-05,0.28744209992723313,0.4602889496290511,11.6751269035533,0.0007278953843983146,0.2870387259933285,0.4593852847659955,12.690355329949238,0.00045203536563602405,0.28828015207079283,0.46063479667540586
1,10.714285714285715,0.004893900918477494,0.2796654304399284,0.45021015013935084,10.714285714285715,0.007880462815669913,0.28083246695686015,0.44795131709071295,12.244897959183673,0.007880462815669913,0.27657968611208433,0.4501539602625191,11.73469387755102,0.01268961003167922,0.2764761222151219,0.4504686235727771,11.224489795918368,0.020433597178569417,0.27655907458071427,0.45071585903083694
2,5.670103092783505,0.0030391953823131978,0.23201525351651053,0.3659964121894727,5.670103092783505,0.0018873918221350976,0.23315315363062622,0.37167332758072574,6.185567010309279,4.1753189365604006e-05,0.23562674194782549,0.3801205776829102,6.185567010309279,0.0030391953823131978,0.23429105701294295,0.3756131068622553,6.185567010309279,1.610262027560939e-05,0.2361105879901419,0.3804611926063854
3,8.762886597938145,0.0018873918221350976,0.2862800584754663,0.47641241654934374,8.762886597938145,1e-05,0.290250909340063,0.47879672101367005,9.278350515463918,0.0018873918221350976,0.2885184534412225,0.4761626322721286,8.762886597938145,2.592943797404667e-05,0.2873284865368191,0.47818361415141464,8.762886597938145,0.0011721022975334804,0.2874009513149698,0.47668490848812395
