fold,best_params,n_rounds,lift_1pct,lift_2pct,lift_5pct,pr_auc,roc_auc
0,nl=31_lr=0.01_md=10_ff=1.0,326,13.705583756345177,15.228426395939087,12.284263959390861,0.30726511859895145,0.5155631170859597
1,nl=63_lr=0.01_md=50_ff=1.0,283,20.408163265306122,16.836734693877553,11.63265306122449,0.373094833249351,0.5189416074799964
2,nl=63_lr=0.1_md=50_ff=1.0,26,15.463917525773196,13.659793814432991,11.546391752577318,0.3162618275293004,0.4844111903356192
3,nl=15_lr=0.05_md=50_ff=1.0,96,15.463917525773196,12.11340206185567,11.752577319587628,0.31091449845020946,0.48872564603297153
