fold,best_C,lift_1pct,lift_2pct,lift_5pct,pr_auc,roc_auc
0,0.01,12.0,9.6,8.16,0.34667334639314584,0.4748702290076336
1,1.0,12.0,8.4,6.56,0.2806145454172998,0.41538697318007667
2,10.0,7.317073170731708,8.536585365853659,8.617886178861788,0.28800880658077604,0.43553561972401333
3,0.01,8.94308943089431,8.536585365853659,7.642276422764227,0.308261246601675,0.44688969878204526
