cig,fold,label,score_raw,score_calib_pf,score_calib_gl
0123031862,1.0,,0.0009149742773776026,0.2510271690792812,0.250879521283473
011473062F,3.0,,0.02155117480631951,0.25544821266491946,0.25525645142613235
0121185505,0.0,,0.005433197800458778,0.2519907767815437,0.2518335523602647
0113227DDC,0.0,,0.006491366402314163,0.25221680800679813,0.2520573340882878
0113728B4D,0.0,,0.01127861087296221,0.2532410702505906,0.253071387934664
0121505D15,1.0,,0.004290099428345964,0.2517467550177656,0.25159195780662136
01247860AA,1.0,,0.0035691843201683705,0.25159293904808444,0.2514396710853885
0115109EEF,2.0,,0.0014178225312661231,0.2511342909652851,0.25098557963220497
0126155A63,1.0,,0.0009580474032239191,0.251036343768028,0.2508886048937816
011820168B,3.0,,0.005289564345527573,0.25196010616128234,0.25180318688736253
131297908C,1.0,,0.0010301524686653146,0.2510517028349793,0.2509038114846717
0116292F2D,3.0,,0.0042408583043076955,0.2517362468423301,0.25158155412169636
01136467A3,2.0,,0.0010853629191115168,0.25106346361002396,0.2509154555017034
012053087E,2.0,,0.002935649791493814,0.25145781829617797,0.2513058932575886
0107424914,2.0,,0.013495027335532832,0.2537162169979749,0.25354179092115325
0123168970,2.0,,0.036225365334786555,0.25862292229678685,0.25839921330382015
0115827F72,2.0,,0.002741762740388662,0.2514164755427333,0.25126496131203174
0114221226,2.0,,0.0011526994712947672,0.2510778079489356,0.2509296574292374
01129243D4,0.0,1.0,0.1713793346633489,0.2890460013387134,0.28850630280891937
0118908DF8,3.0,,0.03244099094926431,0.2578017330068682,0.25758630890660755
0118135016,3.0,,0.09245447225528633,0.271023468156889,0.27067296963657506
077985223A,3.0,,0.0009124204980628441,0.25102662512459134,0.2508789827286366
34645182B2,3.0,,0.0032794263712762808,0.2515311332600754,0.251378479619214
01050122A4,2.0,,0.07188626062307503,0.2664443772388807,0.26614105213862327
0119540785,1.0,,0.019008006182304596,0.25490061747696025,0.2547143442962276
0120954664,1.0,,0.0011731364101569407,0.25108216162646046,0.25093396788225986
01190925D2,2.0,,0.0380194052261092,0.25901281410430993,0.2587851664517432
01157407A9,2.0,,0.007909993906637073,0.2525200461793422,0.2523575525304596
