cig,label,score_raw_final,score_calib_final
0123031862,,0.0012159052849825868,0.2509429886305981
011473062F,,0.031808505002205716,0.2574506104547317
0121185505,,0.00623132944548871,0.2520023291991701
0113227DDC,,0.010282306125403222,0.2528601244596903
0113728B4D,,0.01560081318201758,0.25398924866963085
0121505D15,,0.006582046711772318,0.25207651731193975
01247860AA,,0.004661820963781793,0.251670504500685
0115109EEF,,0.0027332951284078874,0.25126317379575897
0126155A63,,0.0013306285231391372,0.2509671869527117
011820168B,,0.00664250916051692,0.25208930855023565
131297908C,,0.001331518071695238,0.2509673745893082
0116292F2D,,0.005033309112102038,0.25174901813693745
01136467A3,,0.0013665304010713848,0.25097475997617974
012053087E,,0.0039218063686300335,0.2515141516180312
0107424914,,0.018432738654702307,0.25459182422341226
0123168970,,0.050059769746511405,0.2613851112333777
0115827F72,,0.004229073413147773,0.25157906424740356
0114221226,,0.0014447352541108014,0.2509912567753816
01129243D4,1.0,0.31426377280129403,0.32249712439520195
0118908DF8,,0.055176802549790016,0.2624951581367642
0118135016,,0.11346830951831023,0.2753528754498162
077985223A,,0.001134109856794079,0.2509257366470416
34645182B2,,0.004197076026976268,0.2515723040240069
01050122A4,,0.14875330167642437,0.2833228893391691
0119540785,,0.027759459610900126,0.25658300388145516
0120954664,,0.0015568187754014496,0.25101490131385545
01190925D2,,0.05180087827389327,0.2617624723152221
01157407A9,,0.011060726500771348,0.2530251762290702
22389296A7,,0.001731847966162726,0.2510518274950139
01211632DE,,0.09216568365538057,0.2706090042601592
0113286E8C,,0.001299085422368841,0.25096053348068886
0114455340,,0.053314287223187165,0.26209076819214494
01156540B3,,0.004389472783285129,0.2516129543196364
0117042A1A,,0.05002582189239635,0.2613777570022089
0117360089,,0.019438335022484033,0.2548060208005782
32757881C6,,0.0011122547073289528,0.2509211271747847
0116829A54,,0.07805943708477475,0.26749613390164123
0105953B2B,,0.00511799136863254,0.25176691791890676
01263814E5,,0.020092253223389124,0.2549453719531373
012740411B,,0.0013572260114236945,0.2509727973243935
01207817A0,,0.008975633919460008,0.2525832253941411
01270171BE,,0.0016388799542972612,0.251032213439018
0130222696,,0.05741515947455105,0.26298168231119096
013116726E,,0.0017486790391926165,0.2510553785630437
0125325D72,,0.00925824343696417,0.2526430966261324
0123133C8D,,0.02133459599891187,0.25521025550871324
01532100E4,,0.0038046115830259962,0.25148939620878946
0129031FBB,,0.0012509002415600867,0.2509503698759136
012382037E,,0.006382482677903764,0.25203430125037646
0121870A4B,,0.004895047877568597,0.2517197948691518
012484622D,,0.018871016175809625,0.25468516474084313
0168770966,,0.0018735452089698435,0.25108172422819813
0128929B90,,0.054901088639861984,0.2624352697065022
01243611F1,,0.05295616366094344,0.26201305834890476
0126115961,,0.0033576240606954166,0.2513949925359548
0120743844,,0.02274661181558846,0.25551153512381775
0127380D49,,0.0014220102096863464,0.2509864630024662
0120516CEF,,0.010772285186518881,0.25296400848806055
00836917FD,1.0,0.5657866499926247,0.3869652382464373
0126203202,,0.0013826323515869236,0.2509781565177578
0125270013,,0.10101822234162877,0.27257411765137785
0122472B14,,0.06826520131500231,0.2653482277103827
01232973E6,,0.05671538742472278,0.2628295191487997
0131532F9F,,0.021522787518837433,0.2552503961496042
01278934A3,,0.00309965046072929,0.2513405192776839
01198642E6,,0.16846804972913965,0.2878362010856397
01251572D2,,0.01679117794005584,0.25424241919394325
01300844B5,,0.00905848345895064,0.25260077621473614
0053041ACE,,0.05072241846241883,0.26152868969607784
011496581C,,0.03969410769092365,0.2591457848750506
012915888B,,0.0047947212466685485,0.25169859097103986
2769271AB6,,0.0016470400852416519,0.2510339349932403
012583959F,,0.0208665160144186,0.25511043356307855
0131823FC3,,0.032152273521619965,0.25752435943136814
0126335EEC,,0.024996940604268762,0.2559921668330361
013396683B,,0.03589641758287655,0.2583284872295486
014301862E,,0.004096617359733855,0.2515510804792595
0137314318,,0.8065304062719042,0.4526549720559112
01428370D2,,0.029652736274064142,0.25698844605858073
0142190AE3,,0.04788939280415923,0.2609152046302544
0139556D3D,,0.004379239864908715,0.25161079216115606
