fold,q1,q0,n1_cal,n0_cal,alpha
0,0.6134785073903819,0.4940449994039474,26,35,0.1
1,0.6130403438930075,0.46735891419681513,27,34,0.1
2,0.6125430569111865,0.522960540635814,24,37,0.1
3,0.6100880797095865,0.5376157929241897,29,32,0.1
