fold,lift1_pi0.02,wd_pi0.02,prauc_pi0.02,rocauc_pi0.02
0,0.5076142131979695,0.1,0.3599651524814592,0.59162157639315
1,0.5102040816326531,0.1,0.28706955079912044,0.4752933111570619
2,0.0,0.004641588833612777,0.3241341433010514,0.5607486716017984
3,0.5154639175257733,0.004641588833612777,0.40910806278735795,0.5851594077841864
