fold,a,b,se_a,se_b,n_P,n_N,note
0,0.16835123617999717,-0.31220165287370655,0.8589999776451758,0.25140865521125616,53.0,70.0,per-fold
1,-2.6493291347056758,0.3264621301417343,0.864370341354066,0.26133823923804356,53.0,70.0,per-fold
2,-2.553241003444064,0.1823045207267834,0.937515300559912,0.24516072784547,52.0,70.0,per-fold
3,-2.274991209379611,0.09666028379132723,0.9008054149587439,0.23284916088030602,52.0,70.0,per-fold
mean,-1.8273025278373383,0.0733063204465346,1.3398723215519834,0.27394055118106375,,,cross-fold mean (se_a/se_b = cross-fold SD)
global,-1.8517806496982974,0.08109478784678194,0.4327903393241024,0.1227745221254086,210.0,280.0,global fit su tutti gli OOF labeled
