fold,n_P,n_N,ece_raw,ece_calib,brier_raw,brier_calib
0,53,70,0.3038587494657157,0.016510923922460743,0.32575780401800464,0.23726632076792745
1,53,70,0.2702356210769357,0.061335035046748254,0.3210502923623522,0.2399926696712678
2,52,70,0.30000609888674096,0.09485432362929194,0.34801046700939836,0.2503453877353498
3,52,70,0.3349978146431719,0.04750232910069824,0.34826462575762906,0.24197026449598652
overall,210,280,0.28867611271665655,0.047578305836430676,0.33572032075992086,0.24237829672702868
