fold,a,b,se_a,se_b,n_P,n_N,note
0,2.083484994491521,-0.5864643187879544,1.0213766652803602,0.23558894300307434,53.0,70.0,per-fold
1,1.853807459295537,-0.5789631643475946,1.1187031579222897,0.25807405627932894,53.0,70.0,per-fold
2,-1.6011865455252405,-0.051505165847730454,1.464958361826502,0.28670452334529856,52.0,70.0,per-fold
3,1.6045056642902071,-0.4753642338333549,1.3953153540543215,0.24030511348665898,52.0,70.0,per-fold
mean,0.9851528931380062,-0.42307422070415857,1.7352851549806623,0.25284744735515235,,,cross-fold mean (se_a/se_b = cross-fold SD)
global,1.2626835492583297,-0.4711814306958695,0.5731315655421472,0.12382749717082765,210.0,280.0,global fit su tutti gli OOF labeled
