fold,a,b,se_a,se_b,n_P,n_N,note
0,3.595785591527155,-0.6877948538403112,1.4187901031391599,0.23643341247718974,53.0,70.0,per-fold
1,3.5639181072673276,-0.7441095825650591,1.432250105790811,0.25835297534744367,53.0,70.0,per-fold
2,0.9987688281452918,-0.42647662764541955,1.786840616320807,0.2954526546055066,52.0,70.0,per-fold
3,4.184019076949812,-0.7069506782849146,1.7167568252399013,0.2438008031262069,52.0,70.0,per-fold
mean,3.085622900972396,-0.6413329355839261,1.420148625540729,0.14513289338957236,,,cross-fold mean (se_a/se_b = cross-fold SD)
global,3.2233418512451975,-0.6711724895005836,0.7469219127578852,0.12593709633979897,210.0,280.0,global fit su tutti gli OOF labeled
