fold,q1,q0,n1_cal,n0_cal,alpha
0,0.7435016839824637,0.3415208943812087,96,229,0.1
1,0.7428004771714329,0.34142182910734525,91,234,0.1
2,0.7338990812511739,0.33521300874762316,88,236,0.1
3,0.7427272661788257,0.3442200651270238,103,222,0.1
