fold,copertura_marginale,copertura_classe1,copertura_classe0,ampiezza_media,frac_singleton,frac_ambiguo,frac_vuoto,n1_test,n0_test
0,0.927461139896373,0.8888888888888888,0.9461538461538461,1.849740932642487,0.15025906735751296,0.8497409326424871,0.0,63,130
1,0.9067357512953368,0.8571428571428571,0.9349593495934959,1.8238341968911918,0.17616580310880828,0.8238341968911918,0.0,70,123
2,0.9375,0.9508196721311475,0.9312977099236641,1.84375,0.15625,0.84375,0.0,61,131
3,0.8704663212435233,0.8787878787878788,0.8661417322834646,1.7979274611398963,0.20207253886010362,0.7979274611398963,0.0,66,127
mean_oof,0.9105408031088082,0.893909824237693,0.9196381594886176,1.8288131476683938,0.17118685233160622,0.8288131476683938,0.0,260,511
