fold,q1,q0,n1_cal,n0_cal,alpha
0,0.7177470863283326,0.382978130464266,62,131,0.1
1,0.7171023668354312,0.38831060841560294,54,139,0.1
2,0.7144874280078177,0.37439760540773553,62,130,0.1
3,0.7179855156617702,0.35807990124230016,58,134,0.1
