fold,n_P,n_N,ece_raw,ece_calib,brier_raw,brier_calib
0,196,454,0.07456925365467998,0.07235386418356152,0.17868761145762854,0.1784309724876203
1,195,455,0.06767096711941273,0.0567890219423624,0.18246069083364747,0.179450743332975
2,194,454,0.06447827221945931,0.05715855244505137,0.17198237658211854,0.17181863259517358
3,196,454,0.0528870113034409,0.044390325399727336,0.17200179264388785,0.17241664473788862
overall,781,1817,0.04497093676322126,0.03926518738054845,0.17628642868863328,0.17553210480549922
