fold,a,b,se_a,se_b,n_P,n_N,note
0,4.508437632672188,-2.1801639478349184,0.5070207239183866,0.17906372215339011,196.0,454.0,per-fold
1,8.32520531761124,-3.516001945096612,0.9333271136553613,0.31602467129912676,195.0,455.0,per-fold
2,4.6815504986779395,-2.2041324916900766,0.497017731713306,0.17318522215902232,194.0,454.0,per-fold
3,5.347081953679241,-2.5663692074967015,0.565366028191391,0.2077591457638639,196.0,454.0,per-fold
mean,5.715568850660152,-2.6166668980295773,1.7769210086143108,0.625047423933718,,,cross-fold mean (se_a/se_b = cross-fold SD)
global,5.177610541581159,-2.438461549551816,0.2897431956781241,0.10183475935888474,781.0,1817.0,global fit su tutti gli OOF labeled
