fold,q1,q0,n1_cal,n0_cal,alpha
0,0.7687192207633774,0.37544714267924323,96,229,0.1
1,0.775324209002883,0.3745293128224293,91,234,0.1
2,0.7658444941816263,0.37516659936184965,88,236,0.1
3,0.7753052591149993,0.3730779282216172,103,222,0.1
