cig,score_mean,score_lower,score_upper,pc_mean,pc_lower,pc_upper,lift_vs_prior,percentile_rank
87920125D2,0.351637,0.342223,0.391414,0.014543,0.013959,0.0172,0.7272,67.9
9200898539,0.351626,0.342434,0.411295,0.014542,0.013972,0.018656,0.7271,67.85
87346171F9,0.351626,0.34245,0.406778,0.014542,0.013973,0.018317,0.7271,67.85
8250096298,0.351618,0.342149,0.391414,0.014542,0.013955,0.0172,0.7271,67.8
91070016F7,0.351614,0.342089,0.391414,0.014542,0.013951,0.0172,0.7271,67.75
854914841C,0.351614,0.342573,0.391414,0.014542,0.013981,0.0172,0.7271,67.75
74086871EC,0.351566,0.342409,0.415809,0.014539,0.013971,0.019,0.727,67.7
9330143592,0.351555,0.342448,0.391414,0.014538,0.013973,0.0172,0.7269,67.67
9651403DB3,0.351553,0.341955,0.391414,0.014538,0.013943,0.0172,0.7269,67.63
72465802FE,0.35155,0.341392,0.391414,0.014538,0.013909,0.0172,0.7269,67.6
85354750CC,0.351541,0.342047,0.411295,0.014537,0.013949,0.018656,0.7268,67.57
582613892A,0.351517,0.34224,0.391414,0.014536,0.01396,0.0172,0.7268,67.53
63925345EF,0.351514,0.342196,0.391414,0.014535,0.013958,0.0172,0.7267,67.5
9970964BC8,0.351512,0.341888,0.411584,0.014535,0.013939,0.018678,0.7267,67.47
B2ED0AA069,0.35151,0.342035,0.391414,0.014535,0.013948,0.0172,0.7267,67.43
0998470B7F,0.351508,0.342499,0.391414,0.014535,0.013976,0.0172,0.7267,67.4
6498734CF0,0.351493,0.342224,0.391414,0.014534,0.013959,0.0172,0.7267,67.37
0247993A49,0.351491,0.342452,0.391414,0.014534,0.013973,0.0172,0.7267,67.33
6018987134,0.351486,0.341663,0.391414,0.014534,0.013925,0.0172,0.7267,67.3
6931155A0A,0.351476,0.342335,0.391414,0.014533,0.013966,0.0172,0.7266,67.27
A0108BB737,0.351471,0.342063,0.391414,0.014533,0.01395,0.0172,0.7266,67.23
67611651DD,0.351468,0.342351,0.412029,0.014532,0.013967,0.018712,0.7266,67.2
9319456262,0.351461,0.342369,0.411295,0.014532,0.013968,0.018656,0.7266,67.17
A048EC5A13,0.351443,0.342316,0.412065,0.014531,0.013965,0.018714,0.7266,67.13
9001170078,0.35144,0.34245,0.411295,0.014531,0.013973,0.018656,0.7266,67.1
871804999E,0.351422,0.342024,0.391414,0.01453,0.013947,0.0172,0.7265,67.07
9494085EC7,0.351415,0.342024,0.391414,0.014529,0.013947,0.0172,0.7264,67.03
883472882D,0.351409,0.341478,0.391414,0.014529,0.013914,0.0172,0.7264,67.0
5910602F0E,0.351408,0.34145,0.391414,0.014529,0.013912,0.0172,0.7264,66.97
6852097153,0.351399,0.342401,0.391414,0.014528,0.01397,0.0172,0.7264,66.93
926919098F,0.351396,0.343086,0.398871,0.014528,0.014012,0.017735,0.7264,66.88
73563468C1,0.351396,0.342371,0.391414,0.014528,0.013968,0.0172,0.7264,66.88
9819319660,0.351394,0.341956,0.391414,0.014528,0.013943,0.0172,0.7264,66.83
77647255C5,0.351391,0.342338,0.401146,0.014528,0.013966,0.017901,0.7264,66.8
97895765AD,0.351388,0.341956,0.391414,0.014527,0.013943,0.0172,0.7263,66.77
806437873F,0.351384,0.341939,0.391414,0.014527,0.013942,0.0172,0.7263,66.73
7720442648,0.351383,0.342689,0.404193,0.014527,0.013988,0.018125,0.7263,66.7
B4F6D55A52,0.351369,0.341479,0.391414,0.014526,0.013914,0.0172,0.7263,66.67
77516331EA,0.351365,0.342849,0.412029,0.014526,0.013998,0.018712,0.7263,66.63
32338544BD,0.351364,0.342087,0.391414,0.014526,0.013951,0.0172,0.7263,66.6
A016B2E564,0.351361,0.342226,0.391414,0.014526,0.01396,0.0172,0.7263,66.57
9045855BAF,0.351355,0.342272,0.391414,0.014525,0.013962,0.0172,0.7262,66.53
73658603F6,0.351354,0.342242,0.391414,0.014525,0.013961,0.0172,0.7262,66.5
7465837B95,0.35135,0.342242,0.412934,0.014525,0.013961,0.01878,0.7262,66.47
98514845C6,0.351348,0.342128,0.391414,0.014525,0.013954,0.0172,0.7262,66.43
6367223EA0,0.351347,0.34242,0.391414,0.014525,0.013971,0.0172,0.7262,66.4
9659684F65,0.351344,0.342115,0.391414,0.014525,0.013953,0.0172,0.7262,66.37
6434109AB4,0.351337,0.342451,0.391414,0.014524,0.013973,0.0172,0.7262,66.33
6765488151,0.351328,0.34251,0.412027,0.014524,0.013977,0.018711,0.7262,66.28
5624266B1E,0.351328,0.342429,0.391483,0.014524,0.013972,0.017205,0.7262,66.28
9563922E18,0.351306,0.342285,0.391414,0.014522,0.013963,0.0172,0.7261,66.23
8318679712,0.351304,0.341174,0.391915,0.014522,0.013895,0.017235,0.7261,66.2
852023612D,0.351295,0.342453,0.391414,0.014522,0.013974,0.0172,0.7261,66.17
6354581E1E,0.351289,0.342242,0.391414,0.014521,0.013961,0.0172,0.726,66.13
6307656A63,0.351285,0.342344,0.391414,0.014521,0.013967,0.0172,0.726,66.1
8486964041,0.351278,0.342223,0.391414,0.014521,0.013959,0.0172,0.726,66.07
9516237732,0.351273,0.341956,0.391414,0.01452,0.013943,0.0172,0.726,66.03
1868852175,0.351261,0.342131,0.391414,0.014519,0.013954,0.0172,0.726,66.0
9996240634,0.351259,0.342068,0.402574,0.014519,0.01395,0.018006,0.726,65.97
4621624CC3,0.351233,0.342123,0.398191,0.014518,0.013953,0.017686,0.7259,65.93
B4F29B7DA7,0.351228,0.341541,0.400851,0.014517,0.013918,0.01788,0.7258,65.9
8749290E80,0.35122,0.342267,0.391414,0.014517,0.013962,0.0172,0.7258,65.87
4395395AB0,0.351204,0.342246,0.391414,0.014516,0.013961,0.0172,0.7258,65.83
B22068EEFA,0.35119,0.341953,0.410444,0.014515,0.013943,0.018592,0.7258,65.8
8502573135,0.351189,0.341955,0.391414,0.014515,0.013943,0.0172,0.7258,65.77
3134929140,0.351188,0.342242,0.391414,0.014515,0.013961,0.0172,0.7258,65.73
73686756F8,0.351187,0.342181,0.412029,0.014515,0.013957,0.018712,0.7258,65.7
606902912B,0.35118,0.342123,0.391414,0.014514,0.013953,0.0172,0.7257,65.67
072620427F,0.351179,0.342216,0.391466,0.014514,0.013959,0.017203,0.7257,65.63
9194566BE2,0.351177,0.342451,0.391414,0.014514,0.013973,0.0172,0.7257,65.6
9180704C99,0.351174,0.342055,0.391414,0.014514,0.013949,0.0172,0.7257,65.57
218484819B,0.351173,0.342669,0.391414,0.014514,0.013987,0.0172,0.7257,65.53
B27BBA7B61,0.351172,0.34133,0.394226,0.014514,0.013905,0.0174,0.7257,65.5
80453218E9,0.35115,0.342024,0.391414,0.014512,0.013947,0.0172,0.7256,65.47
9497960C88,0.351149,0.342038,0.391414,0.014512,0.013948,0.0172,0.7256,65.43
9355902E8F,0.351147,0.342242,0.391414,0.014512,0.013961,0.0172,0.7256,65.4
B2E15C87EF,0.351126,0.342038,0.391414,0.014511,0.013948,0.0172,0.7255,65.37
