cig,fold,label,score_raw,score_calib_pf,score_calib_gl
011759741C,3.0,,0.004061168616019064,0.35613921679222976,0.3575604263324935
0080520F30,2.0,,0.1271336131215898,0.44334378438545546,0.4412096685158923
01175258B0,1.0,,0.0059479532632687755,0.3574218092357686,0.35879292748026587
01129243D4,0.0,1.0,0.04851610872565354,0.3868722412496329,0.3870692687086215
01088788F5,3.0,,0.00326364786614163,0.3555976994525172,0.35704002800020895
0116863664,1.0,,0.00284310902789903,0.35531230183642587,0.35676575362060015
0116685381,0.0,,0.05811685907918177,0.39363930412293735,0.39356115391249114
01188920C8,1.0,,0.01830411213957206,0.3658711036515612,0.3669098587655793
0120704815,1.0,,0.009516846851132429,0.3598534423600719,0.36112932602975084
0120751EDC,1.0,,0.43273636637253265,0.6632111995313497,0.6529713300028075
0125636E17,3.0,,0.007666618592688834,0.3585918988754702,0.35991723405067716
0430761338,1.0,,0.009444061377012114,0.35980377820587506,0.36108161042035186
0430694BEB,2.0,,0.010596476319859428,0.3605904644470667,0.36183741476400266
00836917FD,1.0,1.0,0.3639750263237684,0.6163197482680765,0.6074815563338075
01248315CB,2.0,,0.017716422130144564,0.36546731060566545,0.3665220397047078
01203514C8,0.0,,0.16060534354068828,0.4679305339400557,0.46477267786555937
0124665CCC,1.0,,0.0008365757546838267,0.3539519922099144,0.3554583926905897
04307011B5,3.0,,0.002743720539267102,0.3552448671118571,0.3567009464057341
013102091D,3.0,,0.006362453429814969,0.35770385143682754,0.35906394139949505
0128398560,2.0,,0.0033984843254874133,0.35568922762353067,0.3571279878525129
0134148E6A,2.0,,0.02141425363605294,0.36801116433010295,0.3689651145930297
0142633877,0.0,,0.045719710196349676,0.3849092664118906,0.3851857937372899
013964892A,2.0,,0.0016843793778251303,0.3545264655588788,0.35601051915520243
0136183DC0,3.0,,0.001632948806008883,0.3544916041283065,0.3559770144083288
0142004168,2.0,,0.0018824515601176502,0.3546607402064266,0.35613956760741733
013150160D,0.0,,0.026157557511742657,0.371284998745537,0.3721087578447244
469885951C,3.0,,0.004522399108467379,0.3564525608481662,0.35786154195409253
0136763C62,0.0,,0.008345742101909083,0.3590547203149566,0.3603619240339098
0127654F65,2.0,,0.0071872193455812935,0.3582653476142374,0.3596034681708445
0137049867,0.0,,0.005146128873285629,0.35687649677672234,0.358268924117334
01485982F2,3.0,,0.013218159618977434,0.36238291919106835,0.363559373663192
015337590B,1.0,,0.006112895347376221,0.3575340304931136,0.3589007612815053
0146005721,1.0,,0.007691028343239094,0.3586085295196913,0.35993321339155665
01267315B9,2.0,,0.0029639097611588137,0.3553942724253,0.35684452995367255
0109226823,3.0,,0.022561875625796896,0.3688021527494728,0.36972469768836724
0146599152,0.0,,0.03678017804434649,0.3786593837333902,0.37918797403177706
