cig,score_mean,score_lower,score_upper,pc_mean,pc_lower,pc_upper,lift_vs_prior,percentile_rank
0550366064,0.396888,0.323895,0.466167,0.034677,0.025485,0.0455,1.7338,100.0
48633546AD,0.395905,0.340752,0.464345,0.03454,0.027441,0.045183,1.727,99.99
0312054B18,0.385582,0.327206,0.457582,0.033123,0.025862,0.044023,1.6562,99.98
6985755B62,0.383688,0.314794,0.472313,0.032867,0.024465,0.046584,1.6434,99.97
443718835F,0.369442,0.320376,0.443279,0.030992,0.025087,0.041654,1.5496,99.96
3078581D65,0.367991,0.323377,0.424614,0.030805,0.025426,0.038724,1.5402,99.95
727769718E,0.362432,0.323553,0.434656,0.030097,0.025446,0.040279,1.5048,99.94
7335952B17,0.351471,0.317228,0.404814,0.028734,0.024735,0.035799,1.4367,99.93
5522267EE0,0.350505,0.312513,0.4054,0.028616,0.024214,0.035883,1.4308,99.92
0148505632,0.350178,0.30519,0.433929,0.028576,0.023416,0.040165,1.4288,99.91
57114093CE,0.347622,0.303113,0.427273,0.028265,0.023193,0.039131,1.4132,99.9
72321520A2,0.345066,0.316274,0.401728,0.027957,0.024629,0.035359,1.3978,99.89
9397181F11,0.342805,0.309733,0.403661,0.027686,0.023909,0.035634,1.3843,99.88
91356164D0,0.341588,0.3094,0.407178,0.027541,0.023873,0.036139,1.377,99.87
829477480A,0.337221,0.3134,0.383818,0.027024,0.024311,0.032885,1.3512,99.86
8154774C61,0.336701,0.314238,0.374035,0.026963,0.024404,0.031588,1.3482,99.85
B150348138,0.336318,0.309933,0.379768,0.026918,0.023931,0.032343,1.3459,99.84
6761757A63,0.336306,0.307498,0.389409,0.026916,0.023666,0.033643,1.3458,99.83
8418108A79,0.335539,0.308301,0.376208,0.026826,0.023753,0.031873,1.3413,99.82
99282413A8,0.335197,0.310793,0.377672,0.026786,0.024025,0.032066,1.3393,99.81
B1E94B775E,0.334784,0.306958,0.387135,0.026738,0.023607,0.033333,1.3369,99.8
6334474D4C,0.333967,0.307148,0.384968,0.026643,0.023628,0.03304,1.3322,99.79
0184729B2E,0.333767,0.302296,0.400732,0.026619,0.023105,0.035218,1.331,99.78
5284041094,0.332722,0.306687,0.386574,0.026498,0.023578,0.033257,1.3249,99.77
7475549A2E,0.332329,0.30666,0.386,0.026452,0.023575,0.033179,1.3226,99.76
B466F96452,0.331167,0.30937,0.36512,0.026318,0.023869,0.030438,1.3159,99.75
7607142C28,0.331035,0.309306,0.37564,0.026302,0.023862,0.031798,1.3151,99.74
B43EBF50A5,0.330072,0.306895,0.367055,0.026191,0.0236,0.030685,1.3096,99.73
735384480A,0.329949,0.308067,0.369527,0.026177,0.023727,0.031003,1.3088,99.72
9021670599,0.329576,0.310824,0.371407,0.026134,0.024028,0.031246,1.3067,99.71
83020013F4,0.329294,0.306276,0.369747,0.026101,0.023533,0.031031,1.305,99.7
55298619A6,0.329236,0.308611,0.372574,0.026095,0.023787,0.031397,1.3048,99.69
8960966712,0.328321,0.303423,0.37818,0.02599,0.023226,0.032133,1.2995,99.68
B2CBC5CAD6,0.328215,0.301809,0.379257,0.025977,0.023053,0.032275,1.2988,99.67
4198811871,0.328032,0.308178,0.374916,0.025956,0.02374,0.031703,1.2978,99.66
7118685CB0,0.327631,0.306293,0.36229,0.02591,0.023535,0.030079,1.2955,99.65
948327239F,0.327157,0.30883,0.373761,0.025856,0.02381,0.031552,1.2928,99.64
9382171C6D,0.326865,0.30221,0.391757,0.025823,0.023096,0.033965,1.2912,99.63
7104088EDC,0.32645,0.305604,0.360864,0.025775,0.023461,0.0299,1.2887,99.62
6913750EF9,0.325673,0.302819,0.382028,0.025687,0.023161,0.032645,1.2844,99.61
0206493369,0.325467,0.304104,0.365767,0.025663,0.023299,0.030521,1.2831,99.6
