fold,q1,q0,n1_cal,n0_cal,alpha
0,0.8373397284454223,0.40705775005614725,62,131,0.1
1,0.7840540542769326,0.41157546090696556,54,139,0.1
2,0.7990245035192185,0.4074719993719649,62,130,0.1
3,0.8295595855903243,0.41245309648076084,58,134,0.1
