fold,copertura_marginale,copertura_classe1,copertura_classe0,ampiezza_media,frac_singleton,frac_ambiguo,frac_vuoto,n1_test,n0_test
0,0.9138461538461539,0.91,0.9155555555555556,1.8061538461538462,0.19384615384615383,0.8061538461538461,0.0,100,225
1,0.8861538461538462,0.8557692307692307,0.9004524886877828,1.8061538461538462,0.19384615384615383,0.8061538461538461,0.0,104,221
2,0.8796296296296297,0.8490566037735849,0.8944954128440367,1.7561728395061729,0.24382716049382716,0.7561728395061729,0.0,106,218
3,0.9138461538461539,0.8817204301075269,0.9267241379310345,1.8276923076923077,0.1723076923076923,0.8276923076923077,0.0,93,232
mean_oof,0.8983689458689459,0.8741365661625857,0.9093068987546025,1.7990432098765434,0.20095679012345677,0.7990432098765432,0.0,403,896
